scenario,query_id,query_date,year,weekday,clock,currency,query_at,valid_from,h,target,probability,prior_probability,prior_n,actual_future_bps,predicted_future_bps,prior_future_bps,prior_bps_n,source_at,source_kind,phase,confidence,age_minutes,freshness,benefit_source_at,benefit_source_kind,benefit_age_minutes,benefit_freshness,h1_known_after_receipt
calendar_assumed_replay,96670,2026-09-02,2026,Wednesday,18:45,TJS,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3808255774844412,0.2661345274019274,20546,,73.8680783645708,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
calendar_assumed_replay,96671,2026-09-02,2026,Wednesday,18:45,UZS,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3447196566404125,0.2661345274019274,20546,,65.44201396682078,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
calendar_assumed_replay,96672,2026-09-02,2026,Wednesday,18:45,KGS,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3446571101038158,0.2661345274019274,20546,,70.8937715980176,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
calendar_assumed_replay,96673,2026-09-02,2026,Wednesday,18:45,AMD,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3539136602978165,0.2661345274019274,20546,,71.78033502433485,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
calendar_assumed_replay,96674,2026-09-02,2026,Wednesday,18:45,KZT,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3094742621986506,0.2661345274019274,20546,,64.82902395779374,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
calendar_assumed_replay,96685,2026-09-02,2026,Wednesday,21:15,TJS,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3808255774844412,0.2661345274019274,20546,,73.8680783645708,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
calendar_assumed_replay,96686,2026-09-02,2026,Wednesday,21:15,UZS,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3447196566404125,0.2661345274019274,20546,,65.44201396682078,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
calendar_assumed_replay,96687,2026-09-02,2026,Wednesday,21:15,KGS,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3446571101038158,0.2661345274019274,20546,,70.8937715980176,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
calendar_assumed_replay,96688,2026-09-02,2026,Wednesday,21:15,AMD,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3539136602978165,0.2661345274019274,20546,,71.78033502433485,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
calendar_assumed_replay,96689,2026-09-02,2026,Wednesday,21:15,KZT,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3094742621986506,0.2661345274019274,20546,,64.82902395779374,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
no_same_day_receipt,96610,2026-09-02,2026,Wednesday,09:15,TJS,2026-09-02 06:15:00+00:00,2026-09-02 06:00:00+00:00,5,,0.3121974693577574,0.2661345274019274,20546,,-5.221836792763198,-0.2778034768525073,20546,2026-09-01 21:00:00+00:00,cbr_history,premarket,limited,555.0,fresh,2026-09-02 05:59:59+00:00,mixed_horizon_prefix,15.016666666666667,fresh,False
no_same_day_receipt,96611,2026-09-02,2026,Wednesday,09:15,UZS,2026-09-02 06:15:00+00:00,2026-09-02 06:00:00+00:00,5,,0.2838587761281771,0.2661345274019274,20546,,-5.221836792763198,-0.2778034768525073,20546,2026-09-01 21:00:00+00:00,cbr_history,premarket,limited,555.0,fresh,2026-09-02 05:59:59+00:00,mixed_horizon_prefix,15.016666666666667,fresh,False
no_same_day_receipt,96612,2026-09-02,2026,Wednesday,09:15,KGS,2026-09-02 06:15:00+00:00,2026-09-02 06:00:00+00:00,5,,0.2858287902910972,0.2661345274019274,20546,,-5.221836792763198,-0.2778034768525073,20546,2026-09-01 21:00:00+00:00,cbr_history,premarket,limited,555.0,fresh,2026-09-02 05:59:59+00:00,mixed_horizon_prefix,15.016666666666667,fresh,False
no_same_day_receipt,96613,2026-09-02,2026,Wednesday,09:15,AMD,2026-09-02 06:15:00+00:00,2026-09-02 06:00:00+00:00,5,,0.2908339891981449,0.2661345274019274,20546,,-5.221836792763198,-0.2778034768525073,20546,2026-09-01 21:00:00+00:00,cbr_history,premarket,limited,555.0,fresh,2026-09-02 05:59:59+00:00,mixed_horizon_prefix,15.016666666666667,fresh,False
no_same_day_receipt,96614,2026-09-02,2026,Wednesday,09:15,KZT,2026-09-02 06:15:00+00:00,2026-09-02 06:00:00+00:00,5,,0.2687715754860162,0.2661345274019274,20546,,-5.221836792763198,-0.2778034768525073,20546,2026-09-01 21:00:00+00:00,cbr_history,premarket,limited,555.0,fresh,2026-09-02 05:59:59+00:00,mixed_horizon_prefix,15.016666666666667,fresh,False
no_same_day_receipt,96665,2026-09-02,2026,Wednesday,17:45,TJS,2026-09-02 14:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3808255774844412,0.2661345274019274,20546,,73.8680783645708,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,15.016666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,15.016666666666667,fresh,False
no_same_day_receipt,96666,2026-09-02,2026,Wednesday,17:45,UZS,2026-09-02 14:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3447196566404125,0.2661345274019274,20546,,65.44201396682078,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,15.016666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,15.016666666666667,fresh,False
no_same_day_receipt,96667,2026-09-02,2026,Wednesday,17:45,KGS,2026-09-02 14:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3446571101038158,0.2661345274019274,20546,,70.8937715980176,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,15.016666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,15.016666666666667,fresh,False
no_same_day_receipt,96668,2026-09-02,2026,Wednesday,17:45,AMD,2026-09-02 14:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3539136602978165,0.2661345274019274,20546,,71.78033502433485,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,15.016666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,15.016666666666667,fresh,False
no_same_day_receipt,96669,2026-09-02,2026,Wednesday,17:45,KZT,2026-09-02 14:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3094742621986506,0.2661345274019274,20546,,64.82902395779374,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,15.016666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,15.016666666666667,fresh,False
no_same_day_receipt,96670,2026-09-02,2026,Wednesday,18:45,TJS,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3808255774844412,0.2661345274019274,20546,,73.8680783645708,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
no_same_day_receipt,96671,2026-09-02,2026,Wednesday,18:45,UZS,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3447196566404125,0.2661345274019274,20546,,65.44201396682078,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
no_same_day_receipt,96672,2026-09-02,2026,Wednesday,18:45,KGS,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3446571101038158,0.2661345274019274,20546,,70.8937715980176,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
no_same_day_receipt,96673,2026-09-02,2026,Wednesday,18:45,AMD,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3539136602978165,0.2661345274019274,20546,,71.78033502433485,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
no_same_day_receipt,96674,2026-09-02,2026,Wednesday,18:45,KZT,2026-09-02 15:45:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3094742621986506,0.2661345274019274,20546,,64.82902395779374,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,75.01666666666667,fresh,2026-09-02 14:29:59+00:00,post_window_market,75.01666666666667,fresh,False
no_same_day_receipt,96685,2026-09-02,2026,Wednesday,21:15,TJS,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3808255774844412,0.2661345274019274,20546,,73.8680783645708,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
no_same_day_receipt,96686,2026-09-02,2026,Wednesday,21:15,UZS,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3447196566404125,0.2661345274019274,20546,,65.44201396682078,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
no_same_day_receipt,96687,2026-09-02,2026,Wednesday,21:15,KGS,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3446571101038158,0.2661345274019274,20546,,70.8937715980176,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
no_same_day_receipt,96688,2026-09-02,2026,Wednesday,21:15,AMD,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3539136602978165,0.2661345274019274,20546,,71.78033502433485,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
no_same_day_receipt,96689,2026-09-02,2026,Wednesday,21:15,KZT,2026-09-02 18:15:00+00:00,2026-09-02 14:30:00+00:00,5,,0.3094742621986506,0.2661345274019274,20546,,64.82902395779374,-0.2778034768525073,20546,2026-09-02 14:29:59+00:00,post_window_market,pre_receipt_bridge,mature_history,225.01666666666668,aging,2026-09-02 14:29:59+00:00,post_window_market,225.01666666666668,aging,False
