year,weekday,currency,source_kind,phase,confidence,freshness,benefit_source_kind,benefit_freshness,rows,scenario,clock,h
2024,Monday,KZT,cbr_history,premarket,limited,aging,cbr_history,aging,45,calendar_assumed_replay,06:00,1
2024,Monday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,3,calendar_assumed_replay,06:00,1
2024,Monday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2024,Monday,TJS,cbr_history,premarket,limited,aging,cbr_history,aging,45,calendar_assumed_replay,06:00,1
2024,Monday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,3,calendar_assumed_replay,06:00,1
2024,Monday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2024,Monday,UZS,cbr_history,premarket,limited,aging,cbr_history,aging,45,calendar_assumed_replay,06:00,1
2024,Monday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,3,calendar_assumed_replay,06:00,1
2024,Monday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2024,Saturday,AMD,cbr_history,premarket,limited,aging,cbr_history,aging,1,calendar_assumed_replay,06:00,1
2024,Saturday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Saturday,KGS,cbr_history,premarket,limited,aging,cbr_history,aging,1,calendar_assumed_replay,06:00,1
2024,Saturday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Saturday,KZT,cbr_history,premarket,limited,aging,cbr_history,aging,1,calendar_assumed_replay,06:00,1
2024,Saturday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Saturday,TJS,cbr_history,premarket,limited,aging,cbr_history,aging,1,calendar_assumed_replay,06:00,1
2024,Saturday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Saturday,UZS,cbr_history,premarket,limited,aging,cbr_history,aging,1,calendar_assumed_replay,06:00,1
2024,Saturday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Sunday,AMD,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2024,Sunday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Sunday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Sunday,KGS,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2024,Sunday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Sunday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Sunday,KZT,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2024,Sunday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Sunday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Sunday,TJS,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2024,Sunday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Sunday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Sunday,UZS,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2024,Sunday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Sunday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Thursday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Thursday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Thursday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Thursday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Thursday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Thursday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Thursday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Thursday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Thursday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Thursday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Tuesday,AMD,cbr_history,premarket,limited,aging,cbr_history,aging,3,calendar_assumed_replay,06:00,1
2024,Tuesday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Tuesday,KGS,cbr_history,premarket,limited,aging,cbr_history,aging,3,calendar_assumed_replay,06:00,1
2024,Tuesday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Tuesday,KZT,cbr_history,premarket,limited,aging,cbr_history,aging,3,calendar_assumed_replay,06:00,1
2024,Tuesday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Tuesday,TJS,cbr_history,premarket,limited,aging,cbr_history,aging,3,calendar_assumed_replay,06:00,1
2024,Tuesday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Tuesday,UZS,cbr_history,premarket,limited,aging,cbr_history,aging,3,calendar_assumed_replay,06:00,1
2024,Tuesday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2024,Wednesday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Wednesday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Wednesday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Wednesday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Wednesday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Wednesday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Wednesday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Wednesday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2024,Wednesday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2024,Wednesday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Friday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,AMD,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Friday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,KGS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Friday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,KZT,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Friday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,TJS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Friday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Friday,UZS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Monday,AMD,cbr_history,premarket,limited,aging,cbr_history,aging,47,calendar_assumed_replay,06:00,1
2025,Monday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,1,calendar_assumed_replay,06:00,1
2025,Monday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Monday,AMD,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Monday,KGS,cbr_history,premarket,limited,aging,cbr_history,aging,47,calendar_assumed_replay,06:00,1
2025,Monday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,1,calendar_assumed_replay,06:00,1
2025,Monday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Monday,KGS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Monday,KZT,cbr_history,premarket,limited,aging,cbr_history,aging,47,calendar_assumed_replay,06:00,1
2025,Monday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,1,calendar_assumed_replay,06:00,1
2025,Monday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Monday,KZT,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Monday,TJS,cbr_history,premarket,limited,aging,cbr_history,aging,47,calendar_assumed_replay,06:00,1
2025,Monday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,1,calendar_assumed_replay,06:00,1
2025,Monday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Monday,TJS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Monday,UZS,cbr_history,premarket,limited,aging,cbr_history,aging,47,calendar_assumed_replay,06:00,1
2025,Monday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,1,calendar_assumed_replay,06:00,1
2025,Monday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Monday,UZS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,AMD,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2025,Saturday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Saturday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,AMD,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,KGS,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2025,Saturday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Saturday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,KGS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,KZT,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2025,Saturday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Saturday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,KZT,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,TJS,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2025,Saturday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Saturday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,TJS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,UZS,cbr_history,premarket,limited,aging,cbr_history,aging,2,calendar_assumed_replay,06:00,1
2025,Saturday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Saturday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,1,calendar_assumed_replay,06:00,1
2025,Saturday,UZS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Sunday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Sunday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Sunday,AMD,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Sunday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Sunday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Sunday,KGS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Sunday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Sunday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Sunday,KZT,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Sunday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Sunday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Sunday,TJS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Sunday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,48,calendar_assumed_replay,06:00,1
2025,Sunday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,3,calendar_assumed_replay,06:00,1
2025,Sunday,UZS,post_window_market,pre_receipt_bridge,mature_history,stale,post_window_market,stale,1,calendar_assumed_replay,06:00,1
2025,Thursday,AMD,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Thursday,AMD,cbr_history,premarket,limited,stale,cbr_history,stale,2,calendar_assumed_replay,06:00,1
2025,Thursday,KGS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Thursday,KGS,cbr_history,premarket,limited,stale,cbr_history,stale,2,calendar_assumed_replay,06:00,1
2025,Thursday,KZT,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Thursday,KZT,cbr_history,premarket,limited,stale,cbr_history,stale,2,calendar_assumed_replay,06:00,1
2025,Thursday,TJS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Thursday,TJS,cbr_history,premarket,limited,stale,cbr_history,stale,2,calendar_assumed_replay,06:00,1
2025,Thursday,UZS,cbr_history,premarket,limited,fresh,cbr_history,fresh,50,calendar_assumed_replay,06:00,1
2025,Thursday,UZS,cbr_history,premarket,limited,stale,cbr_history,stale,2,calendar_assumed_replay,06:00,1
