candidate,currency,n_signals,complete_months,empty_complete_months,weekly_max,weekly_zero_share,calendar_gap_max,calendar_gap_median,share_gaps_le3
quantile7y_r25,AMD,213,30,0,5,0.2318840579710145,32,3.0,0.5801886792452831
quantile7y_r25,KGS,205,30,0,5,0.2463768115942029,34,3.0,0.5784313725490197
quantile7y_r25,KZT,199,30,0,4,0.21014492753623187,26,3.0,0.51010101010101
quantile7y_r25,TJS,199,30,0,5,0.2753623188405797,34,3.0,0.5858585858585859
quantile7y_r25,UZS,200,30,0,5,0.2463768115942029,34,3.0,0.5527638190954773
change_z_r25,AMD,177,30,0,4,0.2753623188405797,28,4.0,0.4715909090909091
change_z_r25,KGS,173,30,0,4,0.2898550724637681,26,4.0,0.48255813953488375
change_z_r25,KZT,172,30,0,4,0.2608695652173913,43,4.0,0.4619883040935672
change_z_r25,TJS,173,30,0,4,0.2826086956521739,28,4.0,0.4941860465116279
change_z_r25,UZS,174,30,1,4,0.2826086956521739,34,4.0,0.48554913294797686
sign_cd3,AMD,193,30,0,2,0.036231884057971016,13,4.0,0.328125
sign_cd3,KGS,188,30,0,2,0.057971014492753624,18,4.0,0.32620320855614976
sign_cd3,KZT,193,30,0,2,0.028985507246376812,18,4.0,0.359375
sign_cd3,TJS,197,30,0,2,0.050724637681159424,17,4.0,0.3673469387755102
sign_cd3,UZS,186,30,0,2,0.050724637681159424,17,4.0,0.31891891891891894
stale20_z_r35,AMD,228,30,0,5,0.2318840579710145,31,3.0,0.5947136563876652
stale20_z_r35,KGS,229,30,0,5,0.2318840579710145,31,3.0,0.5921052631578947
stale20_z_r35,KZT,230,30,0,4,0.15942028985507245,20,3.0,0.5545851528384279
stale20_z_r35,TJS,228,30,0,5,0.2246376811594203,31,3.0,0.5814977973568282
stale20_z_r35,UZS,234,30,0,4,0.16666666666666666,26,3.0,0.5665236051502146
