candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals,period
noon_consensus,1,1.8461305091290199,0.4630710481615346,1.850900792156132,21.370980146520107,70.31803227332608,317,retrospective_2025
noon_consensus,3,2.086636110362182,0.28421818924890485,2.096556118123012,39.309718691385434,73.04234002656854,317,retrospective_2025
noon_consensus,5,2.060820530525347,0.22195685768656048,2.074808299809831,45.650518680622,67.80915250860677,317,retrospective_2025
noon_consensus,10,2.2032562570364598,0.14747314780520823,2.2178071677514275,54.34302017847384,46.833646621061874,317,retrospective_2025
noon_consensus,20,1.8962276637988087,0.09648909947764339,1.8866836297147838,64.99833020023219,3.3205799786887464,317,retrospective_2025
fixing_basis,1,1.7396103896103892,0.4631578947368422,1.741866725832552,28.054559128418624,65.06036602007478,350,retrospective_2025
fixing_basis,3,1.9201058201058196,0.2842105263157895,1.9269312924238697,52.048781071790145,73.0307448153093,350,retrospective_2025
fixing_basis,5,1.983211678832117,0.22186234817813763,2.0007629961172935,59.319000275127806,69.35714929089217,350,retrospective_2025
fixing_basis,10,1.9969387755102042,0.14736842105263157,2.0177589550971904,69.92833629982685,47.51304464444981,350,retrospective_2025
fixing_basis,20,1.9866746698679472,0.09635627530364373,2.0285466914038346,80.84414238226239,0.26787894459618267,350,retrospective_2025
selected,1,1.7396103896103892,0.4631578947368422,1.741866725832552,28.054559128418624,65.06036602007478,350,retrospective_2025
selected,3,1.9201058201058196,0.2842105263157895,1.9269312924238697,52.048781071790145,73.0307448153093,350,retrospective_2025
selected,5,1.983211678832117,0.22186234817813763,2.0007629961172935,59.319000275127806,69.35714929089217,350,retrospective_2025
selected,10,1.9969387755102042,0.14736842105263157,2.0177589550971904,69.92833629982685,47.51304464444981,350,retrospective_2025
selected,20,1.9866746698679472,0.09635627530364373,2.0285466914038346,80.84414238226239,0.26787894459618267,350,retrospective_2025
noon_consensus,1,1.5649369686309,0.5500282189792792,1.5717884303452785,17.51851102073449,73.70211539962665,237,retrospective_2026
noon_consensus,3,1.8289841565703633,0.40371953022118306,1.8309194494692747,26.512780994850758,94.50903978650736,237,retrospective_2026
noon_consensus,5,1.8742193058739822,0.339944637050176,1.8788833100582623,35.14018498606528,110.67229412512404,237,retrospective_2026
noon_consensus,10,1.8759961127308062,0.2917990018148821,1.8843234765581378,56.94635861915488,147.5613734483629,232,retrospective_2026
noon_consensus,20,1.7742921706765917,0.2464133639043564,1.7826740322576011,94.8642269829893,170.1767444594963,215,retrospective_2026
fixing_basis,1,1.6649978466838933,0.5503184713375796,1.6788898307937241,17.147843231212697,80.56972307526075,215,retrospective_2026
fixing_basis,3,1.8543760545814683,0.4038216560509555,1.8601366389905354,30.490713607571937,105.62863896867967,215,retrospective_2026
fixing_basis,5,1.900792613883808,0.3401273885350318,1.9128545334714242,41.30882307392707,124.30818513371938,215,retrospective_2026
fixing_basis,10,1.9073359073359073,0.29210526315789476,1.9204829540599966,61.911126208527754,162.56817860621248,210,retrospective_2026
fixing_basis,20,1.8865714285714286,0.24647887323943662,1.9025847827540314,104.36903167464645,207.3391746809576,200,retrospective_2026
selected,1,1.6649978466838933,0.5503184713375796,1.6788898307937241,17.147843231212697,80.56972307526075,215,retrospective_2026
selected,3,1.8543760545814683,0.4038216560509555,1.8601366389905354,30.490713607571937,105.62863896867967,215,retrospective_2026
selected,5,1.900792613883808,0.3401273885350318,1.9128545334714242,41.30882307392707,124.30818513371938,215,retrospective_2026
selected,10,1.9073359073359073,0.29210526315789476,1.9204829540599966,61.911126208527754,162.56817860621248,210,retrospective_2026
selected,20,1.8865714285714286,0.24647887323943662,1.9025847827540314,104.36903167464645,207.3391746809576,200,retrospective_2026
noon_consensus,1,1.7138720541352086,0.5002711374824831,1.7113446112507051,19.722902199207486,71.76573570461352,554,combined_2025_2026
noon_consensus,3,1.9539377250735395,0.33534060406917543,1.9637377837961432,33.835216463806525,82.22574768560375,554,combined_2025_2026
noon_consensus,5,1.9612104006180966,0.27243177412911807,1.9768458049340467,41.1542206921564,86.14591164780279,554,combined_2025_2026
noon_consensus,10,2.0096751656009837,0.2084633083338864,2.0510653221547828,55.44315591296929,89.3998262639286,549,combined_2025_2026
noon_consensus,20,1.8189233607336222,0.15707879280798792,1.8346788309861926,77.06819450153439,70.75305246623316,532,combined_2025_2026
fixing_basis,1,1.7081293096028234,0.49632519379729967,1.7103782783131378,23.904215910897786,70.96215675788892,565,combined_2025_2026
fixing_basis,3,1.8894729170677986,0.3297262659495252,1.8935339657072028,43.84526867390179,85.43525320995467,565,combined_2025_2026
fixing_basis,5,1.9432387212255309,0.2668658591104071,1.9568087647943588,52.46557001272399,90.26772045232198,565,combined_2025_2026
fixing_basis,10,1.9482638079701704,0.20164473684210524,1.9691209545785935,66.92188251558969,90.65871988011082,560,combined_2025_2026
fixing_basis,20,1.9272355126963518,0.15094631091665933,1.9655657370789328,89.39864757949296,75.56653193963669,550,combined_2025_2026
selected,1,1.7081293096028234,0.49632519379729967,1.7103782783131378,23.904215910897786,70.96215675788892,565,combined_2025_2026
selected,3,1.8894729170677986,0.3297262659495252,1.8935339657072028,43.84526867390179,85.43525320995467,565,combined_2025_2026
selected,5,1.9432387212255309,0.2668658591104071,1.9568087647943588,52.46557001272399,90.26772045232198,565,combined_2025_2026
selected,10,1.9482638079701704,0.20164473684210524,1.9691209545785935,66.92188251558969,90.65871988011082,560,combined_2025_2026
selected,20,1.9272355126963518,0.15094631091665933,1.9655657370789328,89.39864757949296,75.56653193963669,550,combined_2025_2026
