horizon,case_lift,pooled_lift,base_rate,hit_rate,n_signals,frequency,future_benefit_bps,symmetric_benefit_bps,candidate,period
1,1.8347461330070785,1.8291301721534279,0.4617402181661668,0.8471760797342193,301,1.1870422535211267,71.29138445737554,24.645037408020855,incumbent,2025
3,2.069109947643979,2.057339731758337,0.2825937832057783,0.584717607973422,301,1.1870422535211267,81.64049710986345,47.59459511616479,incumbent,2025
5,2.1130461350443017,2.096418265150229,0.22011648082639515,0.46511627906976744,301,1.1870422535211267,73.1672772624637,53.1069972012376,incumbent,2025
10,2.0723769131477043,2.051495016611296,0.14588349227272115,0.3023255813953488,301,1.1870422535211267,43.57682773389214,55.94244880452312,incumbent,2025
20,2.09588459906661,2.068734470532399,0.09510807430024076,0.19933554817275748,301,1.1870422535211267,8.01790336485358,69.99286598592711,incumbent,2025
1,1.7125014129083307,1.7107610659439927,0.5497592045984153,0.9414634146341463,205,1.2755555555555556,86.89331334122015,17.7783057798972,incumbent,2026
3,1.9579676674364892,1.9569131338001078,0.4036041634301694,0.7902439024390244,205,1.2755555555555556,110.97700850435014,32.2355118842437,incumbent,2026
5,1.9957018747142206,1.9935142048049697,0.3397545440422557,0.6780487804878049,205,1.2755555555555556,127.55265299738797,40.274638046774186,incumbent,2026
10,1.954432664110083,1.951351351351351,0.2916447368421053,0.57,200,1.2844036697247705,161.3612069060955,53.992945723654664,incumbent,2026
20,1.8230471771075019,1.8202316602316604,0.2460982108869433,0.4486486486486487,185,1.269607843137255,195.10865339815422,93.13427170963708,incumbent,2026
1,1.7800067233117465,1.7813331653622664,0.49740008421085247,0.8853754940711462,506,1.1946037099494098,77.61232402494105,21.863061155520167,incumbent,2025-2026
3,2.0143077561432894,2.0199521904806987,0.3316197277630909,0.6679841897233202,506,1.1946037099494098,93.52584263529778,41.372041632876595,incumbent,2025-2026
5,2.0529084958019066,2.0587698085086177,0.26858644714902646,0.5513833992094862,506,1.1946037099494098,95.20087810368796,47.9081165161289,incumbent,2025-2026
