scenario,clock,h,model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision
calendar_assumed_replay,00:15,20,identity_h20,ALL,ALL,2910,0.13711340206185568,0.1676783468058738,0.12428935098399156,0.4201615955475662,0.036075777056309745,0.12428935098399156,0.4201615955475662,0.036075777056309745,0.0,0.0,0.3741152962054678,0.10152054427289763
calendar_assumed_replay,00:15,20,identity_h20,currency,AMD,582,0.13402061855670103,0.18755330421009617,0.12577164709706154,0.4256587965246838,0.05863016489283398,0.12577164709706154,0.4256587965246838,0.05863016489283398,0.0,0.0,0.31651912901912904,0.09342515052134345
calendar_assumed_replay,00:15,20,identity_h20,currency,KGS,582,0.1254295532646048,0.17878653027518596,0.11902167774192814,0.40898767412764064,0.053356977010581175,0.11902167774192814,0.40898767412764064,0.053356977010581175,0.0,0.0,0.29800575934548,0.0852874939111021
calendar_assumed_replay,00:15,20,identity_h20,currency,KZT,582,0.12027491408934708,0.13885788978316427,0.11053956537080295,0.3863846269148742,0.018582975693817182,0.11053956537080295,0.3863846269148742,0.018582975693817182,0.0,0.0,0.28549107142857144,0.08016097129921766
calendar_assumed_replay,00:15,20,identity_h20,currency,TJS,582,0.15807560137457044,0.17583079029096266,0.13594335339806202,0.4459489844455212,0.03804832085802693,0.13594335339806202,0.4459489844455212,0.03804832085802693,0.0,0.0,0.44165927240461406,0.13519964569238016
calendar_assumed_replay,00:15,20,identity_h20,currency,UZS,582,0.14776632302405499,0.15736321946995982,0.1301705113121031,0.4338278957251116,0.049337510515530605,0.1301705113121031,0.4338278957251116,0.049337510515530605,0.0,0.0,0.3773677794448612,0.11373884375888584
calendar_assumed_replay,00:15,20,identity_h20,year,2025,1825,0.08712328767123288,0.18052926647968046,0.0918269067925903,0.3408907816991181,0.09340597880844757,0.0918269067925903,0.3408907816991181,0.09340597880844757,0.0,0.0,0.38031061481196254,0.0647764860215399
calendar_assumed_replay,00:15,20,identity_h20,year,2026,1085,0.22119815668202766,0.14606274458956303,0.17889207969303053,0.5534972962603937,0.07513541209246463,0.17889207969303053,0.5534972962603937,0.07513541209246463,0.0,0.0,0.47120315581854044,0.23971163241768675
calendar_assumed_replay,00:15,20,identity_h20,currency_year,AMD:2025,365,0.0821917808219178,0.20503361976355414,0.09493033753036516,0.35273272496636876,0.12284183894163633,0.09493033753036516,0.35273272496636876,0.12284183894163633,0.0,0.0,0.2937313432835821,0.05770892172164603
calendar_assumed_replay,00:15,20,identity_h20,currency_year,AMD:2026,217,0.22119815668202766,0.15815093012248252,0.17764758254334806,0.5483224652748452,0.06304722655954514,0.17764758254334806,0.5483224652748452,0.06304722655954514,0.0,0.0,0.45056706114398415,0.24891049047399083
calendar_assumed_replay,00:15,20,identity_h20,currency_year,KGS:2025,365,0.0821917808219178,0.19503278113400152,0.09346314690462548,0.34892677558393387,0.11284100031208372,0.09346314690462548,0.34892677558393387,0.11284100031208372,0.0,0.0,0.22208955223880594,0.05260525751672619
calendar_assumed_replay,00:15,20,identity_h20,currency_year,KGS:2026,217,0.19815668202764977,0.15145988712556535,0.1620118332977598,0.5100117661481611,0.04669679490208442,0.1620118332977598,0.5100117661481611,0.04669679490208442,0.0,0.0,0.45977011494252873,0.23753837253251936
calendar_assumed_replay,00:15,20,identity_h20,currency_year,KZT:2025,365,0.049315068493150684,0.14891407724336292,0.05969088942650255,0.2571765675650781,0.09959900875021223,0.05969088942650255,0.2571765675650781,0.09959900875021223,0.0,0.0,0.20829330771693882,0.030832780274359834
calendar_assumed_replay,00:15,20,identity_h20,currency_year,KZT:2026,217,0.23963133640552994,0.1219431044238439,0.19606844426328982,0.6037161553143005,0.11768823198168604,0.19606844426328982,0.6037161553143005,0.11768823198168604,0.0,0.0,0.4869463869463869,0.3055882509617552
calendar_assumed_replay,00:15,20,identity_h20,currency_year,TJS:2025,365,0.14246575342465753,0.18616539504659327,0.12685622013681985,0.42466436369457583,0.04528020136083672,0.12685622013681985,0.42466436369457583,0.04528020136083672,0.0,0.0,0.3860899483902679,0.1119280752029574
calendar_assumed_replay,00:15,20,identity_h20,currency_year,TJS:2026,217,0.18433179723502305,0.1584476993425518,0.15122816280061224,0.48175030506347055,0.02588409789247126,0.15122816280061224,0.48175030506347055,0.02588409789247126,0.0,0.0,0.49675141242937854,0.2696538608896375
