origin,information,n_features,n_train,n_query,mask_sha256,last_training_date,last_effective_mature20,last_shared_cap,n_at_risk,n_failures
2022-07-01,past,111,475,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,2022-05-30,2022-06-27,2022-06-28,1002,419
2022-07-01,announced,111,475,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,2022-05-30,2022-06-27,2022-06-28,1002,419
2022-07-01,market,133,475,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,2022-05-30,2022-06-27,2022-06-28,1002,419
2022-10-01,past,111,805,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,2022-08-31,2022-09-27,2022-09-28,1794,701
2022-10-01,announced,111,805,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,2022-08-31,2022-09-27,2022-09-28,1794,701
2022-10-01,market,133,805,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,2022-08-31,2022-09-27,2022-09-28,1794,701
2023-01-01,past,111,1130,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,2022-12-01,2022-12-28,2022-12-29,2540,970
2023-01-01,announced,111,1130,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,2022-12-01,2022-12-28,2022-12-29,2540,970
2023-01-01,market,133,1130,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,2022-12-01,2022-12-28,2022-12-29,2540,970
2023-04-01,past,111,1410,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,2023-02-28,2023-03-28,2023-03-29,3438,1120
2023-04-01,announced,111,1410,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,2023-02-28,2023-03-28,2023-03-29,3438,1120
2023-04-01,market,133,1410,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,2023-02-28,2023-03-28,2023-03-29,3438,1120
2023-07-01,past,111,1715,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,2023-05-30,2023-06-27,2023-06-28,4245,1341
2023-07-01,announced,111,1715,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,2023-05-30,2023-06-27,2023-06-28,4245,1341
2023-07-01,market,133,1715,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,2023-05-30,2023-06-27,2023-06-28,4245,1341
2023-10-01,past,111,2045,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,2023-08-31,2023-09-27,2023-09-28,5267,1558
2023-10-01,announced,111,2045,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,2023-08-31,2023-09-27,2023-09-28,5267,1558
2023-10-01,market,133,2045,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,2023-08-31,2023-09-27,2023-09-28,5267,1558
2024-01-01,past,111,2370,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,2023-12-01,2023-12-28,2023-12-29,5970,1861
2024-01-01,announced,111,2370,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,2023-12-01,2023-12-28,2023-12-29,5970,1861
2024-01-01,market,133,2370,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,2023-12-01,2023-12-28,2023-12-29,5970,1861
2024-04-01,past,111,2655,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,2024-02-29,2024-03-28,2024-03-29,6667,2107
2024-04-01,announced,111,2655,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,2024-02-29,2024-03-28,2024-03-29,6667,2107
2024-04-01,market,133,2655,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,2024-02-29,2024-03-28,2024-03-29,6667,2107
2024-07-01,past,111,2955,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,2024-05-30,2024-06-27,2024-06-28,7360,2365
2024-07-01,announced,111,2955,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,2024-05-30,2024-06-27,2024-06-28,7360,2365
2024-07-01,market,133,2955,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,2024-05-30,2024-06-27,2024-06-28,7360,2365
2024-10-01,past,111,3280,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,2024-08-30,2024-09-26,2024-09-27,8123,2653
2024-10-01,announced,111,3280,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,2024-08-30,2024-09-26,2024-09-27,8123,2653
2024-10-01,market,133,3280,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,2024-08-30,2024-09-26,2024-09-27,8123,2653
2025-01-01,past,111,3610,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,2024-12-02,2024-12-27,2024-12-28,9142,2867
2025-01-01,announced,111,3610,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,2024-12-02,2024-12-27,2024-12-28,9142,2867
2025-01-01,market,133,3610,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,2024-12-02,2024-12-27,2024-12-28,9142,2867
2025-04-01,past,111,3895,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,2025-02-28,2025-03-27,2025-03-28,9665,3150
2025-04-01,announced,111,3895,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,2025-02-28,2025-03-27,2025-03-28,9665,3150
2025-04-01,market,133,3895,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,2025-02-28,2025-03-27,2025-03-28,9665,3150
2025-07-01,past,111,4190,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,2025-05-28,2025-06-26,2025-06-27,10216,3431
2025-07-01,announced,111,4190,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,2025-05-28,2025-06-26,2025-06-27,10216,3431
2025-07-01,market,133,4190,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,2025-05-28,2025-06-26,2025-06-27,10216,3431
2025-10-01,past,111,4515,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,2025-08-29,2025-09-25,2025-09-26,10994,3694
2025-10-01,announced,111,4515,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,2025-08-29,2025-09-25,2025-09-26,10994,3694
2025-10-01,market,133,4515,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,2025-08-29,2025-09-25,2025-09-26,10994,3694
2026-01-01,past,111,4840,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2025-12-01,2025-12-26,2025-12-29,11738,3987
2026-01-01,announced,111,4840,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2025-12-01,2025-12-26,2025-12-29,11738,3987
2026-01-01,market,133,4840,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2025-12-01,2025-12-26,2025-12-29,11738,3987
2026-04-01,past,111,5110,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,2026-02-26,2026-03-26,2026-03-27,12298,4223
2026-04-01,announced,111,5110,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,2026-02-26,2026-03-26,2026-03-27,12298,4223
