candidate,year,currency,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
known_change_z_urgent_cap2,2024,AMD,1,248,69,2024-01-09,2024-12-28,1.0,0.5604838709677419,1.7841726618705038,1.7841726618705036,1.36056338028169,1.36056338028169,1.36056338028169,28.16953895261662,71.74006793651425
known_change_z_urgent_cap2,2024,AMD,3,248,69,2024-01-09,2024-12-28,0.782608695652174,0.4032258064516129,1.9408695652173915,1.9408695652173915,1.36056338028169,1.36056338028169,1.36056338028169,50.37192890954573,93.63274443214281
known_change_z_urgent_cap2,2024,AMD,5,248,69,2024-01-09,2024-12-28,0.7101449275362319,0.35080645161290325,2.02432117274696,2.02432117274696,1.36056338028169,1.36056338028169,1.36056338028169,57.742563241884184,104.93353987469173
known_change_z_urgent_cap2,2024,AMD,10,248,69,2024-01-09,2024-12-28,0.6086956521739131,0.2903225806451613,2.0966183574879227,2.0966183574879222,1.36056338028169,1.36056338028169,1.36056338028169,56.996710759040674,117.37244996220836
known_change_z_urgent_cap2,2024,AMD,20,248,69,2024-01-09,2024-12-28,0.4492753623188406,0.21370967741935484,2.1022696199070277,2.1022696199070277,1.36056338028169,1.36056338028169,1.36056338028169,60.13121527456623,145.33405649491652
known_change_z_urgent_cap2,2024,KGS,1,248,67,2024-01-09,2024-12-28,1.0,0.5645161290322581,1.7714285714285714,1.7714285714285711,1.3211267605633803,1.3211267605633803,1.3211267605633803,25.364260451360078,63.757198270630205
known_change_z_urgent_cap2,2024,KGS,3,248,67,2024-01-09,2024-12-28,0.7910447761194029,0.4153225806451613,1.90465149978264,1.90465149978264,1.3211267605633803,1.3211267605633803,1.3211267605633803,47.630447547969275,88.69360033767776
known_change_z_urgent_cap2,2024,KGS,5,248,67,2024-01-09,2024-12-28,0.7313432835820896,0.3709677419354839,1.9714471122647632,1.971447112264763,1.3211267605633803,1.3211267605633803,1.3211267605633803,55.628531097645016,101.70804077319322
known_change_z_urgent_cap2,2024,KGS,10,248,67,2024-01-09,2024-12-28,0.582089552238806,0.29435483870967744,1.9775097117153955,1.9775097117153955,1.3211267605633803,1.3211267605633803,1.3211267605633803,57.917522779143155,116.63744727388142
known_change_z_urgent_cap2,2024,KGS,20,248,67,2024-01-09,2024-12-28,0.43283582089552236,0.20967741935483872,2.0642939150401833,2.064293915040184,1.3211267605633803,1.3211267605633803,1.3211267605633803,62.83184995057249,142.4066475727913
known_change_z_urgent_cap2,2024,KZT,1,248,69,2024-01-09,2024-12-28,1.0,0.5080645161290323,1.9682539682539684,1.9682539682539684,1.36056338028169,1.36056338028169,1.36056338028169,37.037905143017994,79.66070109275734
known_change_z_urgent_cap2,2024,KZT,3,248,69,2024-01-09,2024-12-28,0.7536231884057971,0.3346774193548387,2.251789767766719,2.251789767766719,1.36056338028169,1.36056338028169,1.36056338028169,59.05814096063132,96.93078357943209
known_change_z_urgent_cap2,2024,KZT,5,248,69,2024-01-09,2024-12-28,0.6231884057971014,0.2701612903225806,2.3067272333982265,2.3067272333982265,1.36056338028169,1.36056338028169,1.36056338028169,64.29771824360024,95.2206019157748
known_change_z_urgent_cap2,2024,KZT,10,248,69,2024-01-09,2024-12-28,0.5072463768115942,0.2056451612903226,2.4666098323387327,2.4666098323387327,1.36056338028169,1.36056338028169,1.36056338028169,59.91631047832096,87.43350181922217
known_change_z_urgent_cap2,2024,KZT,20,248,69,2024-01-09,2024-12-28,0.37681159420289856,0.1532258064516129,2.4591914569031275,2.4591914569031275,1.36056338028169,1.36056338028169,1.36056338028169,55.63728576658588,79.97778535507598
known_change_z_urgent_cap2,2024,TJS,1,248,69,2024-01-09,2024-12-28,1.0,0.5483870967741935,1.823529411764706,1.823529411764706,1.36056338028169,1.36056338028169,1.36056338028169,26.043646540667286,65.96020505127298
known_change_z_urgent_cap2,2024,TJS,3,248,69,2024-01-09,2024-12-28,0.782608695652174,0.4032258064516129,1.9408695652173915,1.9408695652173915,1.36056338028169,1.36056338028169,1.36056338028169,47.35841691677482,89.01700665531526
known_change_z_urgent_cap2,2024,TJS,5,248,69,2024-01-09,2024-12-28,0.6956521739130435,0.35080645161290325,1.9830084957521237,1.983008495752124,1.36056338028169,1.36056338028169,1.36056338028169,54.59446758983851,99.32454087578465
known_change_z_urgent_cap2,2024,TJS,10,248,69,2024-01-09,2024-12-28,0.6086956521739131,0.29435483870967744,2.06789755807028,2.0678975580702796,1.36056338028169,1.36056338028169,1.36056338028169,55.42042918291847,112.16792678010835
known_change_z_urgent_cap2,2024,TJS,20,248,69,2024-01-09,2024-12-28,0.391304347826087,0.18548387096774194,2.109640831758034,2.1096408317580337,1.36056338028169,1.36056338028169,1.36056338028169,59.933810447438965,135.77905811018832
known_change_z_urgent_cap2,2024,UZS,1,248,67,2024-01-09,2024-12-28,1.0,0.5403225806451613,1.8507462686567164,1.8507462686567167,1.3211267605633803,1.3211267605633803,1.3211267605633803,26.164641685056754,62.615485813449936
known_change_z_urgent_cap2,2024,UZS,3,248,67,2024-01-09,2024-12-28,0.746268656716418,0.3870967741935484,1.9278606965174132,1.927860696517413,1.3211267605633803,1.3211267605633803,1.3211267605633803,49.05569518086045,89.00231871955157
known_change_z_urgent_cap2,2024,UZS,5,248,67,2024-01-09,2024-12-28,0.6716417910447762,0.33064516129032256,2.031306880232982,2.0313068802329814,1.3211267605633803,1.3211267605633803,1.3211267605633803,56.709418431015024,91.81873705180156
known_change_z_urgent_cap2,2024,UZS,10,248,67,2024-01-09,2024-12-28,0.5522388059701493,0.2620967741935484,2.1070034443168772,2.1070034443168772,1.3211267605633803,1.3211267605633803,1.3211267605633803,57.67283364568044,98.69315073977181
known_change_z_urgent_cap2,2024,UZS,20,248,67,2024-01-09,2024-12-28,0.3880597014925373,0.1814516129032258,2.1386401326699835,2.138640132669983,1.3211267605633803,1.3211267605633803,1.3211267605633803,65.0323292735921,117.73358776744436
