clock,origin,n_train,n_test,last_train_date,last_mature20,mask_sha256,n_at_risk,n_failures
1810,2026-04-01,5110,310,2026-02-26,2026-03-27,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,12294,4224
1810,2026-07-01,5420,225,2026-05-28,2026-06-26,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,12949,4499
1830,2022-07-01,475,330,2022-05-30,2022-06-28,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,985,423
1830,2022-10-01,805,320,2022-08-31,2022-09-28,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,1783,705
1830,2023-01-01,1130,285,2022-12-01,2022-12-29,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,2543,969
1830,2023-04-01,1410,305,2023-02-28,2023-03-29,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,3439,1121
1830,2023-07-01,1715,325,2023-05-30,2023-06-28,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,4244,1341
1830,2023-10-01,2045,320,2023-08-31,2023-09-28,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,5262,1562
1830,2024-01-01,2370,285,2023-12-01,2023-12-29,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,5970,1863
1830,2024-04-01,2655,300,2024-02-29,2024-03-29,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,6659,2111
1830,2024-07-01,2955,330,2024-05-30,2024-06-28,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,7348,2369
1830,2024-10-01,3280,325,2024-08-30,2024-09-27,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,8106,2657
1830,2025-01-01,3610,290,2024-12-02,2024-12-28,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9125,2871
1830,2025-04-01,3895,295,2025-02-28,2025-03-28,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,9663,3154
1830,2025-07-01,4190,330,2025-05-28,2025-06-27,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,10199,3435
1830,2025-10-01,4515,320,2025-08-29,2025-09-26,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,10993,3694
1830,2026-01-01,4840,275,2025-12-01,2025-12-29,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,11722,3991
1830,2026-04-01,5110,310,2026-02-26,2026-03-27,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,12294,4224
1830,2026-07-01,5420,225,2026-05-28,2026-06-26,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,12949,4499
1850,2022-07-01,475,330,2022-05-30,2022-06-28,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,985,423
1850,2022-10-01,805,320,2022-08-31,2022-09-28,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,1783,705
1850,2023-01-01,1130,285,2022-12-01,2022-12-29,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,2543,969
1850,2023-04-01,1410,305,2023-02-28,2023-03-29,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,3439,1121
1850,2023-07-01,1715,325,2023-05-30,2023-06-28,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,4244,1341
1850,2023-10-01,2045,320,2023-08-31,2023-09-28,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,5262,1562
1850,2024-01-01,2370,285,2023-12-01,2023-12-29,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,5970,1863
1850,2024-04-01,2655,300,2024-02-29,2024-03-29,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,6659,2111
1850,2024-07-01,2955,330,2024-05-30,2024-06-28,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,7348,2369
1850,2024-10-01,3280,325,2024-08-30,2024-09-27,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,8106,2657
1850,2025-01-01,3610,290,2024-12-02,2024-12-28,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9125,2871
1850,2025-04-01,3895,295,2025-02-28,2025-03-28,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,9663,3154
1850,2025-07-01,4190,330,2025-05-28,2025-06-27,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,10199,3435
1850,2025-10-01,4515,320,2025-08-29,2025-09-26,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,10993,3694
1850,2026-01-01,4840,275,2025-12-01,2025-12-29,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,11722,3991
1850,2026-04-01,5110,310,2026-02-26,2026-03-27,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,12294,4224
1850,2026-07-01,5420,225,2026-05-28,2026-06-26,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,12949,4499
1930,2022-07-01,475,330,2022-05-30,2022-06-28,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,985,423
1930,2022-10-01,805,320,2022-08-31,2022-09-28,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,1783,705
1930,2023-01-01,1130,285,2022-12-01,2022-12-29,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,2543,969
1930,2023-04-01,1410,305,2023-02-28,2023-03-29,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,3439,1121
1930,2023-07-01,1715,325,2023-05-30,2023-06-28,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,4244,1341
1930,2023-10-01,2045,320,2023-08-31,2023-09-28,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,5262,1562
1930,2024-01-01,2370,285,2023-12-01,2023-12-29,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,5970,1863
1930,2024-04-01,2655,300,2024-02-29,2024-03-29,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,6659,2111
1930,2024-07-01,2955,330,2024-05-30,2024-06-28,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,7348,2369
1930,2024-10-01,3280,325,2024-08-30,2024-09-27,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,8106,2657
1930,2025-01-01,3610,290,2024-12-02,2024-12-28,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,9125,2871
1930,2025-04-01,3895,295,2025-02-28,2025-03-28,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,9663,3154
1930,2025-07-01,4190,330,2025-05-28,2025-06-27,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,10199,3435
1930,2025-10-01,4515,320,2025-08-29,2025-09-26,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,10993,3694
1930,2026-01-01,4840,275,2025-12-01,2025-12-29,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,11722,3991
1930,2026-04-01,5110,310,2026-02-26,2026-03-27,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,12294,4224
1930,2026-07-01,5420,225,2026-05-28,2026-06-26,75b543ed99834ea7109367d7a67fbac4f4cf289a0f70aca0eb6f1725d573109d,12949,4499
