model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity,brier_delta_t25,logloss_delta_t25,auc_delta_t25,ece_delta_t25
identity_early,ALL,ALL,1945,0.15115681233933162,0.16695530723430602,0.13380589918486416,0.44375764911883003,0.04835525084205696,0.13380589918486416,0.44375764911883003,0.04835525084205696,0.0,0.0,0.3764302813796627,0.11280972250000651,0.0,0.0,0.004484994774131945,0.007257619203224708,-0.18410610761566892,0.0015803101847138984
identity_early,currency,AMD,389,0.14652956298200515,0.18655117471246854,0.13334871070052037,0.4433611389830059,0.06650367780997837,0.13334871070052037,0.4433611389830059,0.06650367780997837,0.0,0.0,0.34295075036990064,0.1057931312494992,0.0,0.0,0.009010445065839853,0.028089537006726006,-0.22785880363559508,0.04475028199506775
identity_early,currency,KGS,389,0.13881748071979436,0.1776964747471435,0.12768465825870248,0.4299260889477453,0.06281016541247524,0.12768465825870248,0.4299260889477453,0.06281016541247524,0.0,0.0,0.3144278606965174,0.09606975577905773,0.0,0.0,0.006439272754008102,0.017624982452622118,-0.2288004422332781,0.017517345081369984
identity_early,currency,KZT,389,0.14395886889460155,0.13835894495585377,0.12811299587337005,0.4318605832074684,0.005599923938747781,0.12811299587337005,0.4318605832074684,0.005599923938747781,0.0,0.0,0.2937580437580437,0.09710841049758866,-5.551115123125783e-17,0.0,0.00025635070978183294,-0.022209192847973902,-0.20093307593307597,-0.06955591057296837
identity_early,currency,TJS,389,0.17223650385604114,0.17524223301260974,0.14506852978783885,0.4678994638843087,0.0525073634575704,0.14506852978783885,0.4678994638843087,0.0525073634575704,0.0,0.0,0.4472976731250579,0.14870855350945245,0.0,0.0,0.004736703242300022,0.013047787092151986,-0.13340131639936964,0.012883726086541099
identity_early,currency,UZS,389,0.15424164524421594,0.15692770874345446,0.13481460130388906,0.4457409705716222,0.05435512359151312,0.13481460130388906,0.4457409705716222,0.05435512359151312,0.0,0.0,0.3681357649442756,0.11622900728556843,0.0,0.0,0.0019822020987299294,-0.0002650176874020582,-0.2047619047619048,-0.008775490593871518
identity_early,year,2025,1235,0.09635627530364373,0.17974789889179998,0.09793663911833511,0.3559948285879327,0.08339162358815624,0.09793663911833511,0.3559948285879327,0.08339162358815624,0.0,0.0,0.3686937140447577,0.07030676838928362,0.0,0.0,0.00941388963081205,0.026274960505757783,-0.12234571247853981,0.035595611303582006
identity_early,year,2026,710,0.24647887323943662,0.1447034048441581,0.19619820366678442,0.5964155130000387,0.10177546839527851,0.19619820366678442,0.5964155130000387,0.10177546839527851,0.0,0.0,0.49289185580774364,0.31173831985219813,0.0,0.0,-0.004088505434318657,-0.025821840668082685,-0.19357009345794396,-0.05073973100699755
identity_early,currency_year,AMD:2025,247,0.08906882591093117,0.20391663354657547,0.09870614166282886,0.36134957477721197,0.11484780763564431,0.09870614166282886,0.36134957477721197,0.11484780763564431,0.0,0.0,0.30787878787878786,0.06262234021090848,0.0,0.0,0.012996037294588342,0.04009781584672589,-0.14707070707070707,0.04684733827438828
identity_early,currency_year,AMD:2026,142,0.24647887323943662,0.15634505969821222,0.19360726388580077,0.5860150570029432,0.0901338135412244,0.19360726388580077,0.5860150570029432,0.0901338135412244,0.0,0.0,0.5100133511348465,0.3583668311521379,0.0,0.0,0.0020777599918900547,0.007201897052641737,-0.24913217623497996,-0.049574264684989794
identity_early,currency_year,KGS:2025,247,0.08906882591093117,0.19397182421602985,0.09743733616392722,0.35814007545179977,0.10490299830509867,0.09743733616392722,0.35814007545179977,0.10490299830509867,0.0,0.0,0.23070707070707072,0.05680812125735329,2.7755575615628914e-17,0.0,0.012499698535899287,0.03785823308063174,-0.16727272727272727,0.04329708913111311
identity_early,currency_year,KGS:2026,142,0.22535211267605634,0.14938653588224973,0.18029795795876932,0.5547933096061858,0.07596557679380661,0.18029795795876932,0.5547933096061858,0.07596557679380661,0.0,0.0,0.5025568181818182,0.33235767765423374,0.0,0.0,-0.00410245378209842,-0.017569474625676373,-0.24176136363636358,-0.06045670770346498
identity_early,currency_year,KZT:2025,247,0.0728744939271255,0.14797748169847494,0.07699115629927353,0.30166605086040144,0.07510298777134944,0.07699115629927353,0.30166605086040144,0.07510298777134944,0.0,0.0,0.2096069868995633,0.045919077706216734,0.0,0.0,0.005144298315876775,0.0030148664668003256,0.0026686074721009034,0.036205117875382005
identity_early,currency_year,KZT:2026,142,0.2676056338028169,0.12162810991763251,0.2170361956959182,0.6583257204590567,0.14597752388518437,0.2170361956959182,0.6583257204590567,0.14597752388518437,0.0,0.0,0.49544534412955465,0.34492166333357577,0.0,0.0,-0.008245924351524214,-0.06608484531803915,-0.1961032388663968,-0.05265704857870954
identity_early,currency_year,TJS:2025,247,0.145748987854251,0.18589892429998625,0.12866306908179023,0.4287856420709515,0.04727756568746346,0.12866306908179023,0.4287856420709515,0.04727756568746346,0.0,0.0,0.38704581358609796,0.1134891268696753,0.0,0.0,0.007958606555819814,0.02331015826249916,-0.2016850974196946,-0.021110492825166728
identity_early,currency_year,TJS:2026,142,0.21830985915492956,0.156705593942314,0.17360478890328965,0.5359354778835991,0.061604265212615555,0.17360478890328965,0.5359354778835991,0.061604265212615555,0.0,0.0,0.5312409183376925,0.36619986283916683,0.0,0.0,-0.0008675933664280266,-0.004802957126691432,-0.16129032258064524,-0.04650775335273548
identity_early,currency_year,UZS:2025,247,0.08502024291497975,0.16697463069793336,0.08788549238385575,0.33003279977929917,0.08195438778295364,0.08788549238385575,0.33003279977929917,0.08195438778295364,0.0,0.0,0.3453434471133586,0.06286085053539421,0.0,0.0,0.008470807451876006,0.027093728872132017,-0.08765276021913188,0.04838820621570146
