candidate,h,mean_bps,ci_lo,ci_hi
dual_gate_meta_precision_rate120_cap2,1,22.264486382025147,16.11704458509086,29.252422009541732
dual_gate_meta_precision_rate120_cap2,3,43.68201195674672,31.93808856537196,57.76733284279497
dual_gate_meta_precision_rate120_cap2,5,58.855944132903794,44.03667255679736,76.85434774736859
dual_gate_meta_precision_rate120_cap2,10,91.57473365902123,67.61840597384543,115.96813365235379
dual_gate_meta_precision_rate120_cap2,20,134.12267102354394,88.12915608456,178.208158977397
ap26_core_mature_precision_calendar_fallback_cap2,1,21.747590759782913,15.825249565924212,28.074093222165644
ap26_core_mature_precision_calendar_fallback_cap2,3,42.264123920497646,30.943796383221436,55.66011237069102
ap26_core_mature_precision_calendar_fallback_cap2,5,56.57858210066582,41.130644936454594,72.5231574643955
ap26_core_mature_precision_calendar_fallback_cap2,10,86.9552014228919,61.85834502066974,112.87616435223009
ap26_core_mature_precision_calendar_fallback_cap2,20,126.64901838387941,74.85264820332148,173.27116299773988
ap26_guarded_core_mature_precision_fallback_cap2,1,23.86008965021348,18.281307230021152,30.03719723981596
ap26_guarded_core_mature_precision_fallback_cap2,3,47.94505514496057,37.56886417584933,59.48742878172867
ap26_guarded_core_mature_precision_fallback_cap2,5,64.45343605170595,50.43144201066132,77.72483622316626
ap26_guarded_core_mature_precision_fallback_cap2,10,97.15934829919306,71.51557423209755,118.73701100819869
ap26_guarded_core_mature_precision_fallback_cap2,20,143.6267825447328,88.26900220869909,186.7428471499472
weekly_optimal_stopping_logit_ap37_fallback_cap2,1,22.03445556356404,16.068182825052457,28.56812283184451
weekly_optimal_stopping_logit_ap37_fallback_cap2,3,43.1392654628916,31.672516087003853,56.58655162193495
weekly_optimal_stopping_logit_ap37_fallback_cap2,5,58.228929145863226,42.3787999130257,74.9336027642516
weekly_optimal_stopping_logit_ap37_fallback_cap2,10,89.75126114031525,65.61820069730464,113.36318493849303
weekly_optimal_stopping_logit_ap37_fallback_cap2,20,130.83257764441208,81.55574864903028,173.41831779213126
meta_y20_cat_core_ap37_fallback_cap2,1,24.46526236152464,19.451800580282686,30.395824533657606
meta_y20_cat_core_ap37_fallback_cap2,3,47.80611685356309,38.04143194397783,57.767835888973316
meta_y20_cat_core_ap37_fallback_cap2,5,63.6462736988697,49.357753815972266,77.06789751747351
meta_y20_cat_core_ap37_fallback_cap2,10,98.85346649927808,73.53449288969877,120.59656738539343
meta_y20_cat_core_ap37_fallback_cap2,20,142.54865984536448,83.29146855824972,188.11748536071264
known_next_not_lower_cd3,1,24.485525249064096,20.827967431118015,28.182810502563452
known_next_not_lower_cd3,3,40.69317390950933,30.50788672133077,52.03957241167192
known_next_not_lower_cd3,5,44.988597856323615,29.286983444523486,60.28813026274993
known_next_not_lower_cd3,10,49.41080114369546,19.498570058921114,78.3618748937687
known_next_not_lower_cd3,20,50.92757462100883,-10.206092906394302,105.24916922980792
