scenario,clock,model,bin_left,bin_right,n,predicted,actual
no_same_day_receipt,10:15,identity_h20,0.1,0.2,2090,0.1520173114473526,0.12679425837320574
no_same_day_receipt,10:15,identity_h20,0.2,0.30000000000000004,633,0.23275661390832517,0.1769352290679305
no_same_day_receipt,10:15,identity_h20,0.30000000000000004,0.4,44,0.3283033310880278,0.2727272727272727
no_same_day_receipt,10:15,identity_h20,0.4,0.5,2,0.41081690018714656,0.0
no_same_day_receipt,10:15,source_driven_h20_shrink50_shadow,0.0,0.1,150,0.08081751899034215,0.06666666666666667
no_same_day_receipt,10:15,source_driven_h20_shrink50_shadow,0.1,0.2,2164,0.15417592608594188,0.12245841035120147
no_same_day_receipt,10:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,550,0.2311112626963941,0.20363636363636364
no_same_day_receipt,10:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,44,0.3283033310880278,0.2727272727272727
no_same_day_receipt,10:15,source_driven_h20_shrink50_shadow,0.4,0.5,2,0.41081690018714656,0.0
no_same_day_receipt,10:45,identity_h20,0.0,0.1,244,0.08115609561039168,0.03278688524590164
no_same_day_receipt,10:45,identity_h20,0.1,0.2,1942,0.15084011732852248,0.13182286302780638
no_same_day_receipt,10:45,identity_h20,0.2,0.30000000000000004,645,0.233287956319733,0.17364341085271318
no_same_day_receipt,10:45,identity_h20,0.30000000000000004,0.4,68,0.33372934412368027,0.3235294117647059
no_same_day_receipt,10:45,identity_h20,0.4,0.5,11,0.4271695383093315,0.09090909090909091
no_same_day_receipt,10:45,source_driven_h20_shrink50_shadow,0.0,0.1,253,0.081528980825987,0.03162055335968379
no_same_day_receipt,10:45,source_driven_h20_shrink50_shadow,0.1,0.2,2016,0.15317210649996318,0.12698412698412698
no_same_day_receipt,10:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,562,0.23175620943999056,0.199288256227758
no_same_day_receipt,10:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,68,0.33372934412368027,0.3235294117647059
no_same_day_receipt,10:45,source_driven_h20_shrink50_shadow,0.4,0.5,11,0.4271695383093315,0.09090909090909091
no_same_day_receipt,11:45,identity_h20,0.0,0.1,337,0.07900556706455537,0.032640949554896145
no_same_day_receipt,11:45,identity_h20,0.1,0.2,1844,0.1505348993239207,0.13232104121475055
no_same_day_receipt,11:45,identity_h20,0.2,0.30000000000000004,614,0.23381366524772637,0.18729641693811075
no_same_day_receipt,11:45,identity_h20,0.30000000000000004,0.4,90,0.33404287910165736,0.23333333333333334
no_same_day_receipt,11:45,identity_h20,0.4,0.5,19,0.43087573616808805,0.3157894736842105
no_same_day_receipt,11:45,identity_h20,0.5,0.6000000000000001,1,0.5005624353182049,0.0
no_same_day_receipt,11:45,identity_h20,0.8,0.9,1,0.8879748326913949,1.0
no_same_day_receipt,11:45,identity_h20,0.9,1.0,4,0.9127055199920999,0.25
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.0,0.1,346,0.07933416451096617,0.031791907514450865
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.1,0.2,1918,0.15299781710388158,0.12721584984358708
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,531,0.23227466730913537,0.21657250470809794
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,90,0.33404287910165736,0.23333333333333334
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.4,0.5,19,0.43087573616808805,0.3157894736842105
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,1,0.5005624353182049,0.0
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.8,0.9,1,0.8879748326913949,1.0
no_same_day_receipt,11:45,source_driven_h20_shrink50_shadow,0.9,1.0,4,0.9127055199920999,0.25
no_same_day_receipt,12:45,identity_h20,0.0,0.1,383,0.07694383081721787,0.02610966057441253
no_same_day_receipt,12:45,identity_h20,0.1,0.2,1823,0.15053220123854738,0.1332967635765222
no_same_day_receipt,12:45,identity_h20,0.2,0.30000000000000004,564,0.2334178052360963,0.19680851063829788
no_same_day_receipt,12:45,identity_h20,0.30000000000000004,0.4,103,0.336125520733554,0.23300970873786409
no_same_day_receipt,12:45,identity_h20,0.4,0.5,30,0.4411859332096894,0.23333333333333334
no_same_day_receipt,12:45,identity_h20,0.5,0.6000000000000001,2,0.5133790651930007,1.0
no_same_day_receipt,12:45,identity_h20,0.9,1.0,5,0.9341591130501381,0.4
no_same_day_receipt,12:45,source_driven_h20_shrink50_shadow,0.0,0.1,392,0.07728120414039179,0.025510204081632654
no_same_day_receipt,12:45,source_driven_h20_shrink50_shadow,0.1,0.2,1897,0.15302248904048868,0.12809699525566684
no_same_day_receipt,12:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,481,0.23165051981747448,0.23076923076923078
no_same_day_receipt,12:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,103,0.336125520733554,0.23300970873786409
no_same_day_receipt,12:45,source_driven_h20_shrink50_shadow,0.4,0.5,30,0.4411859332096894,0.23333333333333334
no_same_day_receipt,12:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,2,0.5133790651930007,1.0
no_same_day_receipt,12:45,source_driven_h20_shrink50_shadow,0.9,1.0,5,0.9341591130501381,0.4
no_same_day_receipt,13:45,identity_h20,0.0,0.1,427,0.07496778348395429,0.03044496487119438
no_same_day_receipt,13:45,identity_h20,0.1,0.2,1780,0.15093880654720496,0.13314606741573035
no_same_day_receipt,13:45,identity_h20,0.2,0.30000000000000004,555,0.23388468617893057,0.2036036036036036
no_same_day_receipt,13:45,identity_h20,0.30000000000000004,0.4,99,0.3379897117369786,0.23232323232323232
no_same_day_receipt,13:45,identity_h20,0.4,0.5,38,0.44241463119843377,0.18421052631578946
no_same_day_receipt,13:45,identity_h20,0.5,0.6000000000000001,6,0.5160323627272105,0.6666666666666666
no_same_day_receipt,13:45,identity_h20,0.9,1.0,5,0.9504140241211155,0.4
no_same_day_receipt,13:45,source_driven_h20_shrink50_shadow,0.0,0.1,436,0.07531189992588903,0.02981651376146789
no_same_day_receipt,13:45,source_driven_h20_shrink50_shadow,0.1,0.2,1854,0.15347062271087378,0.127831715210356
no_same_day_receipt,13:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,472,0.23216580234820638,0.23940677966101695
no_same_day_receipt,13:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,99,0.3379897117369786,0.23232323232323232
no_same_day_receipt,13:45,source_driven_h20_shrink50_shadow,0.4,0.5,38,0.44241463119843377,0.18421052631578946
no_same_day_receipt,13:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,6,0.5160323627272105,0.6666666666666666
no_same_day_receipt,13:45,source_driven_h20_shrink50_shadow,0.9,1.0,5,0.9504140241211155,0.4
no_same_day_receipt,14:45,identity_h20,0.0,0.1,469,0.07243702160489006,0.03411513859275053
no_same_day_receipt,14:45,identity_h20,0.1,0.2,1731,0.15152054630191503,0.1322934719815136
no_same_day_receipt,14:45,identity_h20,0.2,0.30000000000000004,548,0.23463253069694476,0.20985401459854014
no_same_day_receipt,14:45,identity_h20,0.30000000000000004,0.4,107,0.33876980116759103,0.21495327102803738
no_same_day_receipt,14:45,identity_h20,0.4,0.5,37,0.44804132323250595,0.2702702702702703
no_same_day_receipt,14:45,identity_h20,0.5,0.6000000000000001,13,0.5267288683112394,0.3076923076923077
no_same_day_receipt,14:45,identity_h20,0.9,1.0,5,0.9655356584743264,0.4
no_same_day_receipt,14:45,source_driven_h20_shrink50_shadow,0.0,0.1,478,0.0727985522023694,0.03347280334728033
no_same_day_receipt,14:45,source_driven_h20_shrink50_shadow,0.1,0.2,1805,0.15409724349060946,0.12686980609418283
no_same_day_receipt,14:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,465,0.2330212574214465,0.24731182795698925
no_same_day_receipt,14:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,107,0.33876980116759103,0.21495327102803738
no_same_day_receipt,14:45,source_driven_h20_shrink50_shadow,0.4,0.5,37,0.44804132323250595,0.2702702702702703
no_same_day_receipt,14:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,13,0.5267288683112394,0.3076923076923077
no_same_day_receipt,14:45,source_driven_h20_shrink50_shadow,0.9,1.0,5,0.9655356584743264,0.4
no_same_day_receipt,15:10,identity_h20,0.0,0.1,497,0.07071668750646308,0.04024144869215292
no_same_day_receipt,15:10,identity_h20,0.1,0.2,1697,0.15161332653517587,0.13022981732469063
no_same_day_receipt,15:10,identity_h20,0.2,0.30000000000000004,532,0.2343379545301429,0.20300751879699247
no_same_day_receipt,15:10,identity_h20,0.30000000000000004,0.4,125,0.3417044800594363,0.272
no_same_day_receipt,15:10,identity_h20,0.4,0.5,39,0.45455682815403364,0.20512820512820512
no_same_day_receipt,15:10,identity_h20,0.5,0.6000000000000001,14,0.5438498051222402,0.21428571428571427
no_same_day_receipt,15:10,identity_h20,0.6000000000000001,0.7000000000000001,1,0.6006564052736005,0.0
no_same_day_receipt,15:10,identity_h20,0.9,1.0,5,0.9747687986929806,1.0
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.0,0.1,506,0.07108881128606973,0.039525691699604744
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.1,0.2,1771,0.15423561489674117,0.12478825522303783
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,449,0.23261480999795756,0.24053452115812918
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,125,0.3417044800594363,0.272
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.4,0.5,39,0.45455682815403364,0.20512820512820512
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,14,0.5438498051222402,0.21428571428571427
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.6000000000000001,0.7000000000000001,1,0.6006564052736005,0.0
no_same_day_receipt,15:10,source_driven_h20_shrink50_shadow,0.9,1.0,5,0.9747687986929806,1.0
no_same_day_receipt,15:25,identity_h20,0.0,0.1,506,0.07053123405499168,0.041501976284584984
no_same_day_receipt,15:25,identity_h20,0.1,0.2,1692,0.15186770671162542,0.13238770685579196
no_same_day_receipt,15:25,identity_h20,0.2,0.30000000000000004,519,0.23406450258470207,0.1907514450867052
no_same_day_receipt,15:25,identity_h20,0.30000000000000004,0.4,134,0.34263098118669316,0.291044776119403
no_same_day_receipt,15:25,identity_h20,0.4,0.5,40,0.4536911844872817,0.2
no_same_day_receipt,15:25,identity_h20,0.5,0.6000000000000001,14,0.5394310560417026,0.21428571428571427
no_same_day_receipt,15:25,identity_h20,0.9,1.0,5,0.9760569889612818,1.0
no_same_day_receipt,15:25,source_driven_h20_shrink50_shadow,0.0,0.1,515,0.07090009563468919,0.040776699029126215
no_same_day_receipt,15:25,source_driven_h20_shrink50_shadow,0.1,0.2,1766,0.15448676025368363,0.12684031710079274
no_same_day_receipt,15:25,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,436,0.23223792367088836,0.22706422018348624
no_same_day_receipt,15:25,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,134,0.34263098118669316,0.291044776119403
no_same_day_receipt,15:25,source_driven_h20_shrink50_shadow,0.4,0.5,40,0.4536911844872817,0.2
no_same_day_receipt,15:25,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,14,0.5394310560417026,0.21428571428571427
no_same_day_receipt,15:25,source_driven_h20_shrink50_shadow,0.9,1.0,5,0.9760569889612818,1.0
no_same_day_receipt,15:45,identity_h20,0.0,0.1,515,0.07067690934833526,0.038834951456310676
no_same_day_receipt,15:45,identity_h20,0.1,0.2,1681,0.1521203720001585,0.13444378346222485
no_same_day_receipt,15:45,identity_h20,0.2,0.30000000000000004,521,0.2343731652382689,0.19001919385796545
no_same_day_receipt,15:45,identity_h20,0.30000000000000004,0.4,130,0.3427699906916953,0.2846153846153846
no_same_day_receipt,15:45,identity_h20,0.4,0.5,39,0.44496402321881207,0.20512820512820512
no_same_day_receipt,15:45,identity_h20,0.5,0.6000000000000001,19,0.5317094333026289,0.21052631578947367
no_same_day_receipt,15:45,identity_h20,0.9,1.0,5,0.9768419378504005,1.0
no_same_day_receipt,15:45,source_driven_h20_shrink50_shadow,0.0,0.1,524,0.07103693346265612,0.03816793893129771
no_same_day_receipt,15:45,source_driven_h20_shrink50_shadow,0.1,0.2,1755,0.15474518756934563,0.12877492877492877
no_same_day_receipt,15:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,438,0.23261341773558217,0.22602739726027396
no_same_day_receipt,15:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,130,0.3427699906916953,0.2846153846153846
no_same_day_receipt,15:45,source_driven_h20_shrink50_shadow,0.4,0.5,39,0.44496402321881207,0.20512820512820512
no_same_day_receipt,15:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,19,0.5317094333026289,0.21052631578947367
no_same_day_receipt,15:45,source_driven_h20_shrink50_shadow,0.9,1.0,5,0.9768419378504005,1.0
no_same_day_receipt,16:45,identity_h20,0.0,0.1,497,0.07288202707762456,0.030181086519114688
no_same_day_receipt,16:45,identity_h20,0.1,0.2,1685,0.15141529451696017,0.13590504451038576
no_same_day_receipt,16:45,identity_h20,0.2,0.30000000000000004,543,0.23616371503453765,0.1841620626151013
no_same_day_receipt,16:45,identity_h20,0.30000000000000004,0.4,124,0.3404078726912922,0.2903225806451613
no_same_day_receipt,16:45,identity_h20,0.4,0.5,40,0.4381353292288909,0.325
no_same_day_receipt,16:45,identity_h20,0.5,0.6000000000000001,14,0.5332686931054479,0.07142857142857142
no_same_day_receipt,16:45,identity_h20,0.6000000000000001,0.7000000000000001,2,0.6156072958191074,0.0
no_same_day_receipt,16:45,identity_h20,0.9,1.0,5,0.9780834008627716,1.0
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.0,0.1,506,0.07321563691228963,0.029644268774703556
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.1,0.2,1759,0.1540638033615765,0.13018760659465606
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,460,0.23481120683217577,0.21739130434782608
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,124,0.3404078726912922,0.2903225806451613
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.4,0.5,40,0.4381353292288909,0.325
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,14,0.5332686931054479,0.07142857142857142
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.6000000000000001,0.7000000000000001,2,0.6156072958191074,0.0
no_same_day_receipt,16:45,source_driven_h20_shrink50_shadow,0.9,1.0,5,0.9780834008627716,1.0
no_same_day_receipt,17:45,identity_h20,0.0,0.1,390,0.07625485341505667,0.020512820512820513
no_same_day_receipt,17:45,identity_h20,0.1,0.2,1794,0.15112141358172487,0.13154960981047936
no_same_day_receipt,17:45,identity_h20,0.2,0.30000000000000004,585,0.23559102798568632,0.18974358974358974
no_same_day_receipt,17:45,identity_h20,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,17:45,identity_h20,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,17:45,identity_h20,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,17:45,identity_h20,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,17:45,source_driven_h20_shrink50_shadow,0.0,0.1,399,0.07660184875165724,0.020050125313283207
no_same_day_receipt,17:45,source_driven_h20_shrink50_shadow,0.1,0.2,1868,0.1536270207802728,0.12633832976445397
no_same_day_receipt,17:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,502,0.23425699053919005,0.22111553784860558
no_same_day_receipt,17:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,17:45,source_driven_h20_shrink50_shadow,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,17:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,17:45,source_driven_h20_shrink50_shadow,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,18:45,identity_h20,0.0,0.1,390,0.07625485341505667,0.020512820512820513
no_same_day_receipt,18:45,identity_h20,0.1,0.2,1794,0.15112141358172487,0.13154960981047936
no_same_day_receipt,18:45,identity_h20,0.2,0.30000000000000004,585,0.23559102798568632,0.18974358974358974
no_same_day_receipt,18:45,identity_h20,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,18:45,identity_h20,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,18:45,identity_h20,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,18:45,identity_h20,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,18:45,source_driven_h20_shrink50_shadow,0.0,0.1,399,0.07660184875165724,0.020050125313283207
no_same_day_receipt,18:45,source_driven_h20_shrink50_shadow,0.1,0.2,1868,0.1536270207802728,0.12633832976445397
no_same_day_receipt,18:45,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,502,0.23425699053919005,0.22111553784860558
no_same_day_receipt,18:45,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,18:45,source_driven_h20_shrink50_shadow,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,18:45,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,18:45,source_driven_h20_shrink50_shadow,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,19:15,identity_h20,0.0,0.1,390,0.07625485341505667,0.020512820512820513
no_same_day_receipt,19:15,identity_h20,0.1,0.2,1794,0.15112141358172487,0.13154960981047936
no_same_day_receipt,19:15,identity_h20,0.2,0.30000000000000004,585,0.23559102798568632,0.18974358974358974
no_same_day_receipt,19:15,identity_h20,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,19:15,identity_h20,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,19:15,identity_h20,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,19:15,identity_h20,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,19:15,source_driven_h20_shrink50_shadow,0.0,0.1,399,0.07660184875165724,0.020050125313283207
no_same_day_receipt,19:15,source_driven_h20_shrink50_shadow,0.1,0.2,1868,0.1536270207802728,0.12633832976445397
no_same_day_receipt,19:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,502,0.23425699053919005,0.22111553784860558
no_same_day_receipt,19:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,19:15,source_driven_h20_shrink50_shadow,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,19:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,19:15,source_driven_h20_shrink50_shadow,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,20:15,identity_h20,0.0,0.1,390,0.07625485341505667,0.020512820512820513
no_same_day_receipt,20:15,identity_h20,0.1,0.2,1794,0.15112141358172487,0.13154960981047936
no_same_day_receipt,20:15,identity_h20,0.2,0.30000000000000004,585,0.23559102798568632,0.18974358974358974
no_same_day_receipt,20:15,identity_h20,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,20:15,identity_h20,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,20:15,identity_h20,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,20:15,identity_h20,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,20:15,source_driven_h20_shrink50_shadow,0.0,0.1,399,0.07660184875165724,0.020050125313283207
no_same_day_receipt,20:15,source_driven_h20_shrink50_shadow,0.1,0.2,1868,0.1536270207802728,0.12633832976445397
no_same_day_receipt,20:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,502,0.23425699053919005,0.22111553784860558
no_same_day_receipt,20:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,20:15,source_driven_h20_shrink50_shadow,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,20:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,20:15,source_driven_h20_shrink50_shadow,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,21:15,identity_h20,0.0,0.1,390,0.07625485341505667,0.020512820512820513
no_same_day_receipt,21:15,identity_h20,0.1,0.2,1794,0.15112141358172487,0.13154960981047936
no_same_day_receipt,21:15,identity_h20,0.2,0.30000000000000004,585,0.23559102798568632,0.18974358974358974
no_same_day_receipt,21:15,identity_h20,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,21:15,identity_h20,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,21:15,identity_h20,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,21:15,identity_h20,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,21:15,source_driven_h20_shrink50_shadow,0.0,0.1,399,0.07660184875165724,0.020050125313283207
no_same_day_receipt,21:15,source_driven_h20_shrink50_shadow,0.1,0.2,1868,0.1536270207802728,0.12633832976445397
no_same_day_receipt,21:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,502,0.23425699053919005,0.22111553784860558
no_same_day_receipt,21:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,21:15,source_driven_h20_shrink50_shadow,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,21:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,21:15,source_driven_h20_shrink50_shadow,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,22:15,identity_h20,0.0,0.1,390,0.07625485341505667,0.020512820512820513
no_same_day_receipt,22:15,identity_h20,0.1,0.2,1794,0.15112141358172487,0.13154960981047936
no_same_day_receipt,22:15,identity_h20,0.2,0.30000000000000004,585,0.23559102798568632,0.18974358974358974
no_same_day_receipt,22:15,identity_h20,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,22:15,identity_h20,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,22:15,identity_h20,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,22:15,identity_h20,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,22:15,source_driven_h20_shrink50_shadow,0.0,0.1,399,0.07660184875165724,0.020050125313283207
no_same_day_receipt,22:15,source_driven_h20_shrink50_shadow,0.1,0.2,1868,0.1536270207802728,0.12633832976445397
no_same_day_receipt,22:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,502,0.23425699053919005,0.22111553784860558
no_same_day_receipt,22:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,22:15,source_driven_h20_shrink50_shadow,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,22:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,22:15,source_driven_h20_shrink50_shadow,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,23:15,identity_h20,0.0,0.1,390,0.07625485341505667,0.020512820512820513
no_same_day_receipt,23:15,identity_h20,0.1,0.2,1794,0.15112141358172487,0.13154960981047936
no_same_day_receipt,23:15,identity_h20,0.2,0.30000000000000004,585,0.23559102798568632,0.18974358974358974
no_same_day_receipt,23:15,identity_h20,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,23:15,identity_h20,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,23:15,identity_h20,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,23:15,identity_h20,0.9,1.0,10,0.9450724679967614,0.7
no_same_day_receipt,23:15,source_driven_h20_shrink50_shadow,0.0,0.1,399,0.07660184875165724,0.020050125313283207
no_same_day_receipt,23:15,source_driven_h20_shrink50_shadow,0.1,0.2,1868,0.1536270207802728,0.12633832976445397
no_same_day_receipt,23:15,source_driven_h20_shrink50_shadow,0.2,0.30000000000000004,502,0.23425699053919005,0.22111553784860558
no_same_day_receipt,23:15,source_driven_h20_shrink50_shadow,0.30000000000000004,0.4,101,0.3395756812069125,0.33663366336633666
no_same_day_receipt,23:15,source_driven_h20_shrink50_shadow,0.4,0.5,27,0.4351355855562678,0.1111111111111111
no_same_day_receipt,23:15,source_driven_h20_shrink50_shadow,0.5,0.6000000000000001,3,0.5272182795302843,0.0
no_same_day_receipt,23:15,source_driven_h20_shrink50_shadow,0.9,1.0,10,0.9450724679967614,0.7
