scenario,clock,h,model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity
calendar_assumed_replay,00:15,20,source_driven_h20_shrink50_shadow,currency_year,UZS:2026,217,0.2626728110599078,0.15212044316793272,0.20168674075289078,0.6002692706093017,0.11055236789197509,0.20750437556014276,0.6236857895011914,0.1223607091265363,-0.005817634807251976,-0.02341651889188967,0.7066885964912281,0.4493850886774606,0.16831140350877194,-0.011808341234561204
calendar_assumed_replay,06:00,20,identity_h20,ALL,ALL,2910,0.13711340206185568,0.1676783468058738,0.12428935098399156,0.4201615955475662,0.036075777056309745,0.12428935098399156,0.4201615955475662,0.036075777056309745,0.0,0.0,0.3741152962054678,0.10152054427289763,-5.551115123125783e-17,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency,AMD,582,0.13402061855670103,0.18755330421009617,0.12577164709706154,0.4256587965246838,0.05863016489283398,0.12577164709706154,0.4256587965246838,0.05863016489283398,0.0,0.0,0.31651912901912904,0.09342515052134345,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency,KGS,582,0.1254295532646048,0.17878653027518596,0.11902167774192814,0.40898767412764064,0.053356977010581175,0.11902167774192814,0.40898767412764064,0.053356977010581175,0.0,0.0,0.29800575934548,0.0852874939111021,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency,KZT,582,0.12027491408934708,0.13885788978316427,0.11053956537080295,0.3863846269148742,0.018582975693817182,0.11053956537080295,0.3863846269148742,0.018582975693817182,0.0,0.0,0.28549107142857144,0.08016097129921766,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency,TJS,582,0.15807560137457044,0.17583079029096266,0.13594335339806202,0.4459489844455212,0.03804832085802693,0.13594335339806202,0.4459489844455212,0.03804832085802693,0.0,0.0,0.44165927240461406,0.13519964569238016,5.551115123125783e-17,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency,UZS,582,0.14776632302405499,0.15736321946995982,0.1301705113121031,0.4338278957251116,0.049337510515530605,0.1301705113121031,0.4338278957251116,0.049337510515530605,0.0,0.0,0.3773677794448612,0.11373884375888584,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,year,2025,1825,0.08712328767123288,0.18052926647968046,0.0918269067925903,0.3408907816991181,0.09340597880844757,0.0918269067925903,0.3408907816991181,0.09340597880844757,0.0,0.0,0.38031061481196254,0.0647764860215399,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,year,2026,1085,0.22119815668202766,0.14606274458956303,0.17889207969303053,0.5534972962603937,0.07513541209246463,0.17889207969303053,0.5534972962603937,0.07513541209246463,0.0,0.0,0.47120315581854044,0.23971163241768675,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,AMD:2025,365,0.0821917808219178,0.20503361976355414,0.09493033753036516,0.35273272496636876,0.12284183894163633,0.09493033753036516,0.35273272496636876,0.12284183894163633,0.0,0.0,0.2937313432835821,0.05770892172164603,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,AMD:2026,217,0.22119815668202766,0.15815093012248252,0.17764758254334806,0.5483224652748452,0.06304722655954514,0.17764758254334806,0.5483224652748452,0.06304722655954514,0.0,0.0,0.45056706114398415,0.24891049047399083,-5.551115123125783e-17,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,KGS:2025,365,0.0821917808219178,0.19503278113400152,0.09346314690462548,0.34892677558393387,0.11284100031208372,0.09346314690462548,0.34892677558393387,0.11284100031208372,0.0,0.0,0.22208955223880594,0.05260525751672619,-2.7755575615628914e-17,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,KGS:2026,217,0.19815668202764977,0.15145988712556535,0.1620118332977598,0.5100117661481611,0.04669679490208442,0.1620118332977598,0.5100117661481611,0.04669679490208442,0.0,0.0,0.45977011494252873,0.23753837253251936,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,KZT:2025,365,0.049315068493150684,0.14891407724336292,0.05969088942650255,0.2571765675650781,0.09959900875021223,0.05969088942650255,0.2571765675650781,0.09959900875021223,0.0,0.0,0.20829330771693882,0.030832780274359834,-2.7755575615628914e-17,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,KZT:2026,217,0.23963133640552994,0.1219431044238439,0.19606844426328982,0.6037161553143005,0.11768823198168604,0.19606844426328982,0.6037161553143005,0.11768823198168604,0.0,0.0,0.4869463869463869,0.3055882509617552,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,TJS:2025,365,0.14246575342465753,0.18616539504659327,0.12685622013681985,0.42466436369457583,0.04528020136083672,0.12685622013681985,0.42466436369457583,0.04528020136083672,0.0,0.0,0.3860899483902679,0.1119280752029574,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,TJS:2026,217,0.18433179723502305,0.1584476993425518,0.15122816280061224,0.48175030506347055,0.02588409789247126,0.15122816280061224,0.48175030506347055,0.02588409789247126,0.0,0.0,0.49675141242937854,0.2696538608896375,0.0,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,UZS:2025,365,0.07945205479452055,0.16750045921089043,0.08419393996463846,0.32095347668563384,0.08804840441636988,0.08419393996463846,0.32095347668563384,0.08804840441636988,0.0,0.0,0.3519088669950738,0.0604098208245257,-1.1102230246251565e-16,0.0
calendar_assumed_replay,06:00,20,identity_h20,currency_year,UZS:2026,217,0.2626728110599078,0.1403121019333715,0.20750437556014276,0.6236857895011914,0.1223607091265363,0.20750437556014276,0.6236857895011914,0.1223607091265363,0.0,0.0,0.5383771929824561,0.40961731171543914,0.0,0.0
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,ALL,ALL,2910,0.13711340206185568,0.16601696075189992,0.11990372326180121,0.40449880383666775,0.028903558690044257,0.12428935098399156,0.4201615955475662,0.036075777056309745,-0.004385627722190352,-0.01566279171089846,0.5059203165220898,0.12884863369270297,0.13180502031662195,-0.007172218366265488
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency,AMD,582,0.13402061855670103,0.1866462443867231,0.12023424046999125,0.40730742229112626,0.05262562583002206,0.12577164709706154,0.4256587965246838,0.05863016489283398,-0.005537406627070293,-0.018351374233557538,0.4617928367928368,0.11865384233859474,0.14527370777370774,-0.006004539062811919
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency,KGS,582,0.1254295532646048,0.17164230653025409,0.11331951168576175,0.3898955565623724,0.0462127532656493,0.11902167774192814,0.40898767412764064,0.053356977010581175,-0.005702166056166386,-0.01909211756526824,0.45353500013456416,0.10912545982518493,0.15552924078908414,-0.007144223744931871
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency,KZT,582,0.12027491408934708,0.14002232869088746,0.10765444845971056,0.3739641498638441,0.019747414601540395,0.11053956537080295,0.3863846269148742,0.018582975693817182,-0.002885116911092389,-0.01242047705103011,0.45990513392857135,0.10358583113743891,0.1744140624999999,0.0011644389077232128
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency,TJS,582,0.15807560137457044,0.17367224406182288,0.13196904232912882,0.4319412784102223,0.01559664268725243,0.13594335339806202,0.4459489844455212,0.03804832085802693,-0.003974311068933201,-0.014007706035298939,0.5906610470275067,0.1869327070549982,0.14900177462289266,-0.0224516781707745
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency,UZS,582,0.14776632302405499,0.15810168008981215,0.12634137336441367,0.41938561205577346,0.010335357065757202,0.1301705113121031,0.4338278957251116,0.049337510515530605,-0.003829137947689437,-0.01444228366933814,0.5274287321830458,0.14616531411666053,0.15006095273818454,-0.039002153449773404
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,year,2025,1825,0.08712328767123288,0.17225367271351316,0.08793503014481487,0.3284156243046179,0.0851303850422803,0.0918269067925903,0.3408907816991181,0.09340597880844757,-0.003891876647775433,-0.01247515739450017,0.4776589881235513,0.07996497721696705,0.09734837331158874,-0.00827559376616728
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,year,2026,1085,0.22119815668202766,0.1555266387888178,0.17367594901157085,0.5324728154919588,0.0688773939320602,0.17889207969303053,0.5534972962603937,0.07513541209246463,-0.00521613068145968,-0.021024480768434883,0.6258629191321499,0.2958633588349262,0.15465976331360942,-0.00625801816040443
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,AMD:2025,365,0.0821917808219178,0.19525707388196706,0.09003675136011882,0.3383243574561641,0.1130652930600492,0.09493033753036516,0.35273272496636876,0.12284183894163633,-0.004893586170246336,-0.014408367510204634,0.3928358208955224,0.0735885751671004,0.0991044776119403,-0.009776545881587134
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,AMD:2026,217,0.22119815668202766,0.17216259108827128,0.17102725210641262,0.5233388447093805,0.04903556559375637,0.17764758254334806,0.5483224652748452,0.06304722655954514,-0.00662033043693544,-0.02498362056546466,0.6744329388560159,0.3346624817088334,0.22386587771203165,-0.014011660965788778
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,KGS:2025,365,0.0821917808219178,0.17868130967183474,0.0870865186554637,0.3291343122994487,0.0964895288499169,0.09346314690462548,0.34892677558393387,0.11284100031208372,-0.006376628249161784,-0.019792463284485196,0.3370149253731343,0.06632571965667441,0.11492537313432835,-0.01635147146216681
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,KGS:2026,217,0.19815668202764977,0.15980250861930048,0.15744413129893592,0.4920976494470138,0.03835417340834924,0.1620118332977598,0.5100117661481611,0.04669679490208442,-0.004567701998823892,-0.017914116701147342,0.6700080192461908,0.3340952067247106,0.21023790430366207,-0.00834262149373518
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,KZT:2025,365,0.049315068493150684,0.14779978340632116,0.05853273001013611,0.2528140398282278,0.09848471491317047,0.05969088942650255,0.2571765675650781,0.09959900875021223,-0.0011581594163664402,-0.004362527736850308,0.29122638488632724,0.03457221550388368,0.08293307716938839,-0.0011142938370417577
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,KZT:2026,217,0.23963133640552994,0.12694043481469713,0.19027853709609152,0.5777419847163783,0.12872028178508457,0.19606844426328982,0.6037161553143005,0.11768823198168604,-0.005789907167198294,-0.025974170597922175,0.7334498834498835,0.49729008218930737,0.24650349650349657,0.01103204980339853
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,TJS:2025,365,0.14246575342465753,0.17787254826544485,0.12247214643887219,0.40995885168105256,0.03540679484078732,0.12685622013681985,0.42466436369457583,0.04528020136083672,-0.00438407369794766,-0.01470551201352327,0.5708405013516835,0.169415616121245,0.18475055296141563,-0.0098734065200494
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,TJS:2026,217,0.18433179723502305,0.16660721625388736,0.14794308380352347,0.4689163279777199,0.01772458098113569,0.15122816280061224,0.48175030506347055,0.02588409789247126,-0.0032850789970887695,-0.012833977085750625,0.6580508474576271,0.29551331253717644,0.16129943502824856,-0.008159516911335568
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,UZS:2025,365,0.07945205479452055,0.16165764834199803,0.08154700425948344,0.31184656025819635,0.08220559354747747,0.08419393996463846,0.32095347668563384,0.08804840441636988,-0.0026469357051550207,-0.009106916427437495,0.4063013136288998,0.07134959731887518,0.05439244663382592,-0.005842810868892406
calendar_assumed_replay,06:00,20,source_driven_h20_shrink50_shadow,currency_year,UZS:2026,217,0.2626728110599078,0.15212044316793272,0.20168674075289078,0.6002692706093017,0.11055236789197509,0.20750437556014276,0.6236857895011914,0.1223607091265363,-0.005817634807251976,-0.02341651889188967,0.7066885964912281,0.4493850886774606,0.16831140350877194,-0.011808341234561204
calendar_assumed_replay,09:15,20,identity_h20,ALL,ALL,2910,0.13711340206185568,0.1676783468058738,0.12428935098399156,0.4201615955475662,0.036075777056309745,0.12428935098399156,0.4201615955475662,0.036075777056309745,0.0,0.0,0.3741152962054678,0.10152054427289763,-5.551115123125783e-17,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency,AMD,582,0.13402061855670103,0.18755330421009617,0.12577164709706154,0.4256587965246838,0.05863016489283398,0.12577164709706154,0.4256587965246838,0.05863016489283398,0.0,0.0,0.31651912901912904,0.09342515052134345,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency,KGS,582,0.1254295532646048,0.17878653027518596,0.11902167774192814,0.40898767412764064,0.053356977010581175,0.11902167774192814,0.40898767412764064,0.053356977010581175,0.0,0.0,0.29800575934548,0.0852874939111021,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency,KZT,582,0.12027491408934708,0.13885788978316427,0.11053956537080295,0.3863846269148742,0.018582975693817182,0.11053956537080295,0.3863846269148742,0.018582975693817182,0.0,0.0,0.28549107142857144,0.08016097129921766,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency,TJS,582,0.15807560137457044,0.17583079029096266,0.13594335339806202,0.4459489844455212,0.03804832085802693,0.13594335339806202,0.4459489844455212,0.03804832085802693,0.0,0.0,0.44165927240461406,0.13519964569238016,5.551115123125783e-17,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency,UZS,582,0.14776632302405499,0.15736321946995982,0.1301705113121031,0.4338278957251116,0.049337510515530605,0.1301705113121031,0.4338278957251116,0.049337510515530605,0.0,0.0,0.3773677794448612,0.11373884375888584,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,year,2025,1825,0.08712328767123288,0.18052926647968046,0.0918269067925903,0.3408907816991181,0.09340597880844757,0.0918269067925903,0.3408907816991181,0.09340597880844757,0.0,0.0,0.38031061481196254,0.0647764860215399,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,year,2026,1085,0.22119815668202766,0.14606274458956303,0.17889207969303053,0.5534972962603937,0.07513541209246463,0.17889207969303053,0.5534972962603937,0.07513541209246463,0.0,0.0,0.47120315581854044,0.23971163241768675,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,AMD:2025,365,0.0821917808219178,0.20503361976355414,0.09493033753036516,0.35273272496636876,0.12284183894163633,0.09493033753036516,0.35273272496636876,0.12284183894163633,0.0,0.0,0.2937313432835821,0.05770892172164603,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,AMD:2026,217,0.22119815668202766,0.15815093012248252,0.17764758254334806,0.5483224652748452,0.06304722655954514,0.17764758254334806,0.5483224652748452,0.06304722655954514,0.0,0.0,0.45056706114398415,0.24891049047399083,-5.551115123125783e-17,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,KGS:2025,365,0.0821917808219178,0.19503278113400152,0.09346314690462548,0.34892677558393387,0.11284100031208372,0.09346314690462548,0.34892677558393387,0.11284100031208372,0.0,0.0,0.22208955223880594,0.05260525751672619,-2.7755575615628914e-17,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,KGS:2026,217,0.19815668202764977,0.15145988712556535,0.1620118332977598,0.5100117661481611,0.04669679490208442,0.1620118332977598,0.5100117661481611,0.04669679490208442,0.0,0.0,0.45977011494252873,0.23753837253251936,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,KZT:2025,365,0.049315068493150684,0.14891407724336292,0.05969088942650255,0.2571765675650781,0.09959900875021223,0.05969088942650255,0.2571765675650781,0.09959900875021223,0.0,0.0,0.20829330771693882,0.030832780274359834,-2.7755575615628914e-17,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,KZT:2026,217,0.23963133640552994,0.1219431044238439,0.19606844426328982,0.6037161553143005,0.11768823198168604,0.19606844426328982,0.6037161553143005,0.11768823198168604,0.0,0.0,0.4869463869463869,0.3055882509617552,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,TJS:2025,365,0.14246575342465753,0.18616539504659327,0.12685622013681985,0.42466436369457583,0.04528020136083672,0.12685622013681985,0.42466436369457583,0.04528020136083672,0.0,0.0,0.3860899483902679,0.1119280752029574,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,TJS:2026,217,0.18433179723502305,0.1584476993425518,0.15122816280061224,0.48175030506347055,0.02588409789247126,0.15122816280061224,0.48175030506347055,0.02588409789247126,0.0,0.0,0.49675141242937854,0.2696538608896375,0.0,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,UZS:2025,365,0.07945205479452055,0.16750045921089043,0.08419393996463846,0.32095347668563384,0.08804840441636988,0.08419393996463846,0.32095347668563384,0.08804840441636988,0.0,0.0,0.3519088669950738,0.0604098208245257,-1.1102230246251565e-16,0.0
calendar_assumed_replay,09:15,20,identity_h20,currency_year,UZS:2026,217,0.2626728110599078,0.1403121019333715,0.20750437556014276,0.6236857895011914,0.1223607091265363,0.20750437556014276,0.6236857895011914,0.1223607091265363,0.0,0.0,0.5383771929824561,0.40961731171543914,0.0,0.0
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,ALL,ALL,2910,0.13711340206185568,0.16601696075189992,0.11990372326180121,0.40449880383666775,0.028903558690044257,0.12428935098399156,0.4201615955475662,0.036075777056309745,-0.004385627722190352,-0.01566279171089846,0.5059203165220898,0.12884863369270297,0.13180502031662195,-0.007172218366265488
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency,AMD,582,0.13402061855670103,0.1866462443867231,0.12023424046999125,0.40730742229112626,0.05262562583002206,0.12577164709706154,0.4256587965246838,0.05863016489283398,-0.005537406627070293,-0.018351374233557538,0.4617928367928368,0.11865384233859474,0.14527370777370774,-0.006004539062811919
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency,KGS,582,0.1254295532646048,0.17164230653025409,0.11331951168576175,0.3898955565623724,0.0462127532656493,0.11902167774192814,0.40898767412764064,0.053356977010581175,-0.005702166056166386,-0.01909211756526824,0.45353500013456416,0.10912545982518493,0.15552924078908414,-0.007144223744931871
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency,KZT,582,0.12027491408934708,0.14002232869088746,0.10765444845971056,0.3739641498638441,0.019747414601540395,0.11053956537080295,0.3863846269148742,0.018582975693817182,-0.002885116911092389,-0.01242047705103011,0.45990513392857135,0.10358583113743891,0.1744140624999999,0.0011644389077232128
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency,TJS,582,0.15807560137457044,0.17367224406182288,0.13196904232912882,0.4319412784102223,0.01559664268725243,0.13594335339806202,0.4459489844455212,0.03804832085802693,-0.003974311068933201,-0.014007706035298939,0.5906610470275067,0.1869327070549982,0.14900177462289266,-0.0224516781707745
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency,UZS,582,0.14776632302405499,0.15810168008981215,0.12634137336441367,0.41938561205577346,0.010335357065757202,0.1301705113121031,0.4338278957251116,0.049337510515530605,-0.003829137947689437,-0.01444228366933814,0.5274287321830458,0.14616531411666053,0.15006095273818454,-0.039002153449773404
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,year,2025,1825,0.08712328767123288,0.17225367271351316,0.08793503014481487,0.3284156243046179,0.0851303850422803,0.0918269067925903,0.3408907816991181,0.09340597880844757,-0.003891876647775433,-0.01247515739450017,0.4776589881235513,0.07996497721696705,0.09734837331158874,-0.00827559376616728
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,year,2026,1085,0.22119815668202766,0.1555266387888178,0.17367594901157085,0.5324728154919588,0.0688773939320602,0.17889207969303053,0.5534972962603937,0.07513541209246463,-0.00521613068145968,-0.021024480768434883,0.6258629191321499,0.2958633588349262,0.15465976331360942,-0.00625801816040443
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,AMD:2025,365,0.0821917808219178,0.19525707388196706,0.09003675136011882,0.3383243574561641,0.1130652930600492,0.09493033753036516,0.35273272496636876,0.12284183894163633,-0.004893586170246336,-0.014408367510204634,0.3928358208955224,0.0735885751671004,0.0991044776119403,-0.009776545881587134
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,AMD:2026,217,0.22119815668202766,0.17216259108827128,0.17102725210641262,0.5233388447093805,0.04903556559375637,0.17764758254334806,0.5483224652748452,0.06304722655954514,-0.00662033043693544,-0.02498362056546466,0.6744329388560159,0.3346624817088334,0.22386587771203165,-0.014011660965788778
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,KGS:2025,365,0.0821917808219178,0.17868130967183474,0.0870865186554637,0.3291343122994487,0.0964895288499169,0.09346314690462548,0.34892677558393387,0.11284100031208372,-0.006376628249161784,-0.019792463284485196,0.3370149253731343,0.06632571965667441,0.11492537313432835,-0.01635147146216681
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,KGS:2026,217,0.19815668202764977,0.15980250861930048,0.15744413129893592,0.4920976494470138,0.03835417340834924,0.1620118332977598,0.5100117661481611,0.04669679490208442,-0.004567701998823892,-0.017914116701147342,0.6700080192461908,0.3340952067247106,0.21023790430366207,-0.00834262149373518
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,KZT:2025,365,0.049315068493150684,0.14779978340632116,0.05853273001013611,0.2528140398282278,0.09848471491317047,0.05969088942650255,0.2571765675650781,0.09959900875021223,-0.0011581594163664402,-0.004362527736850308,0.29122638488632724,0.03457221550388368,0.08293307716938839,-0.0011142938370417577
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,KZT:2026,217,0.23963133640552994,0.12694043481469713,0.19027853709609152,0.5777419847163783,0.12872028178508457,0.19606844426328982,0.6037161553143005,0.11768823198168604,-0.005789907167198294,-0.025974170597922175,0.7334498834498835,0.49729008218930737,0.24650349650349657,0.01103204980339853
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,TJS:2025,365,0.14246575342465753,0.17787254826544485,0.12247214643887219,0.40995885168105256,0.03540679484078732,0.12685622013681985,0.42466436369457583,0.04528020136083672,-0.00438407369794766,-0.01470551201352327,0.5708405013516835,0.169415616121245,0.18475055296141563,-0.0098734065200494
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,TJS:2026,217,0.18433179723502305,0.16660721625388736,0.14794308380352347,0.4689163279777199,0.01772458098113569,0.15122816280061224,0.48175030506347055,0.02588409789247126,-0.0032850789970887695,-0.012833977085750625,0.6580508474576271,0.29551331253717644,0.16129943502824856,-0.008159516911335568
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,UZS:2025,365,0.07945205479452055,0.16165764834199803,0.08154700425948344,0.31184656025819635,0.08220559354747747,0.08419393996463846,0.32095347668563384,0.08804840441636988,-0.0026469357051550207,-0.009106916427437495,0.4063013136288998,0.07134959731887518,0.05439244663382592,-0.005842810868892406
calendar_assumed_replay,09:15,20,source_driven_h20_shrink50_shadow,currency_year,UZS:2026,217,0.2626728110599078,0.15212044316793272,0.20168674075289078,0.6002692706093017,0.11055236789197509,0.20750437556014276,0.6236857895011914,0.1223607091265363,-0.005817634807251976,-0.02341651889188967,0.7066885964912281,0.4493850886774606,0.16831140350877194,-0.011808341234561204
calendar_assumed_replay,10:15,20,identity_h20,ALL,ALL,2910,0.13711340206185568,0.16894019963082352,0.11875734888999052,0.4000760592456141,0.03182679756896785,0.11875734888999052,0.4000760592456141,0.03182679756896785,0.0,0.0,0.5664948911506165,0.17520816131024183,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency,AMD,582,0.13402061855670103,0.18794300297598585,0.12017928564841346,0.40629192535601527,0.053922384419284805,0.12017928564841346,0.40629192535601527,0.053922384419284805,0.0,0.0,0.5238476800976801,0.15966036285109425,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency,KGS,582,0.1254295532646048,0.17928077013530744,0.11406724876380418,0.3908907847824052,0.053851216870702635,0.11406724876380418,0.3908907847824052,0.053851216870702635,0.0,0.0,0.5173184056839896,0.14307626443385335,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency,KZT,582,0.12027491408934708,0.14018363739274367,0.10463009275030068,0.3636049159810692,0.052909990012220964,0.10463009275030068,0.3636049159810692,0.052909990012220964,0.0,0.0,0.5636579241071429,0.2056757240467562,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency,TJS,582,0.15807560137457044,0.17880391265466955,0.13031055980699022,0.42615122100546277,0.023245745866201643,0.13031055980699022,0.42615122100546277,0.023245745866201643,0.0,0.0,0.6188997338065662,0.2365835364557869,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency,UZS,582,0.14776632302405499,0.1584896749954111,0.12459955748044416,0.4134414491031182,0.010723351971356126,0.12459955748044416,0.4134414491031182,0.010723351971356126,0.0,0.0,0.5725103150787697,0.21262174672254572,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,year,2025,1825,0.08712328767123288,0.17791998463965222,0.08851282392803304,0.3276079981970528,0.09079669696841934,0.08851282392803304,0.3276079981970528,0.09079669696841934,0.0,0.0,0.5670683367686697,0.10342445004638597,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,year,2026,1085,0.22119815668202766,0.1538359529569872,0.16962947613014945,0.5219693416544846,0.06736220372504041,0.16962947613014945,0.5219693416544846,0.06736220372504041,0.0,0.0,0.629112426035503,0.3802115922944215,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency_year,AMD:2025,365,0.0821917808219178,0.20060846408378377,0.09185624562119563,0.34084323598076505,0.11841668326186598,0.09185624562119563,0.34084323598076505,0.11841668326186598,0.0,0.0,0.5068656716417911,0.09106130241891726,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency_year,AMD:2026,217,0.22119815668202766,0.1666393471955884,0.16781942209972459,0.5163784305263671,0.062465096247167264,0.16781942209972459,0.5163784305263671,0.062465096247167264,0.0,0.0,0.6127342209072979,0.39756536828201156,1.1102230246251565e-16,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency_year,KGS:2025,365,0.0821917808219178,0.19117253238664028,0.09109993037323372,0.3388812464926788,0.10898075156472246,0.09109993037323372,0.3388812464926788,0.10898075156472246,0.0,0.0,0.43273631840796023,0.0760289686671041,5.551115123125783e-17,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency_year,KGS:2026,217,0.19815668202764977,0.15927849722407933,0.1526989133378052,0.47837226623747503,0.04903890544427497,0.1526989133378052,0.47837226623747503,0.04903890544427497,0.0,0.0,0.640470462443197,0.3887371776867689,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency_year,KZT:2025,365,0.049315068493150684,0.14687788132011212,0.054887071643462855,0.23742832159543012,0.1029490288855301,0.054887071643462855,0.23742832159543012,0.1029490288855301,0.0,0.0,0.6919628562279859,0.15776462276049988,0.0,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency_year,KZT:2026,217,0.23963133640552994,0.12892373401260784,0.18829922963507395,0.5758374364914758,0.1107076023929221,0.18829922963507395,0.5758374364914758,0.1107076023929221,0.0,0.0,0.6115967365967367,0.40272251754411226,1.1102230246251565e-16,0.0
calendar_assumed_replay,10:15,20,identity_h20,currency_year,TJS:2025,365,0.14246575342465753,0.18565940771436154,0.12402784708676685,0.4137265913336341,0.04319365428970397,0.12402784708676685,0.4137265913336341,0.04319365428970397,0.0,0.0,0.5521934136151389,0.17058625928497634,0.0,0.0
